schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,age_band,sex,count
1.0,jersey_population_2024_manual_fixture,a9590787131d349f18392243f11c0082944289b0473782428b3714f2b966d3fa,jersey_population_2024_total_pdf,2024-12-31,observed,pdf_page_8,manual_pdf_transcription_v1,under_16,all,15410
1.0,jersey_population_2024_manual_fixture,a9590787131d349f18392243f11c0082944289b0473782428b3714f2b966d3fa,jersey_population_2024_total_pdf,2024-12-31,observed,pdf_page_8,manual_pdf_transcription_v1,16_to_64,all,68530
1.0,jersey_population_2024_manual_fixture,a9590787131d349f18392243f11c0082944289b0473782428b3714f2b966d3fa,jersey_population_2024_total_pdf,2024-12-31,observed,pdf_page_8,manual_pdf_transcription_v1,65_plus,all,20600
1.0,jersey_population_2024_manual_fixture,a9590787131d349f18392243f11c0082944289b0473782428b3714f2b966d3fa,jersey_population_2024_total_pdf,2024-12-31,observed,pdf_page_19,manual_pdf_transcription_v1,all,male,52150
1.0,jersey_population_2024_manual_fixture,a9590787131d349f18392243f11c0082944289b0473782428b3714f2b966d3fa,jersey_population_2024_total_pdf,2024-12-31,observed,pdf_page_19,manual_pdf_transcription_v1,all,female,52390
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_0,csv_age_gender_long_v1,0,male,459
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_0,csv_age_gender_long_v1,0,female,443
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_0,csv_age_gender_long_v1,0,all,902
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_1,csv_age_gender_long_v1,1,male,469
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_1,csv_age_gender_long_v1,1,female,381
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_1,csv_age_gender_long_v1,1,all,850
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_2,csv_age_gender_long_v1,2,male,479
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_2,csv_age_gender_long_v1,2,female,482
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_2,csv_age_gender_long_v1,2,all,961
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_3,csv_age_gender_long_v1,3,male,500
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_3,csv_age_gender_long_v1,3,female,461
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_3,csv_age_gender_long_v1,3,all,961
