schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,measure,setting,value,unit
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,establishments,All,162,establishments
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,residents,Care home (with nursing),629,residents
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,establishments,Care home (with nursing),15,establishments
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,residents,Care home (without nursing),328,residents
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,establishments,Care home (without nursing),16,establishments
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,residents,Children's home,15,residents
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,establishments,Children's home,8,establishments
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,residents,Other medical or care establishment,30,residents
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,establishments,Other medical or care establishment,6,establishments
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,residents,Hotel large guest house B&B campsite youth hostel,565,residents
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,establishments,Hotel large guest house B&B campsite youth hostel,91,establishments
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,residents,Homeless hostel or temporary shelter,93,residents
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,establishments,Homeless hostel or temporary shelter,6,establishments
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,residents,Staff communal establishment,272,residents
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,establishments,Staff communal establishment,19,establishments
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,residents,Detention,147,residents
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_46,manual_pdf_transcription_v1,establishments,Detention,1,establishments
