schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,parish,mode,workers,upper_bound,censoring
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_grouville_car,csv_commute_mode_long_v1,Grouville,car,1670,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_grouville_motorbike,csv_commute_mode_long_v1,Grouville,motorbike,70,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_grouville_walk,csv_commute_mode_long_v1,Grouville,walk,100,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_grouville_bus,csv_commute_mode_long_v1,Grouville,bus,150,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_grouville_cycle,csv_commute_mode_long_v1,Grouville,cycle,120,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_grouville_work_from_home,csv_commute_mode_long_v1,Grouville,work_from_home,500,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_grouville_other,csv_commute_mode_long_v1,Grouville,other,20,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_brelade_car,csv_commute_mode_long_v1,St Brelade,car,3280,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_brelade_motorbike,csv_commute_mode_long_v1,St Brelade,motorbike,180,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_brelade_walk,csv_commute_mode_long_v1,St Brelade,walk,390,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_brelade_bus,csv_commute_mode_long_v1,St Brelade,bus,300,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_brelade_cycle,csv_commute_mode_long_v1,St Brelade,cycle,380,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_brelade_work_from_home,csv_commute_mode_long_v1,St Brelade,work_from_home,920,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_brelade_other,csv_commute_mode_long_v1,St Brelade,other,60,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_clement_car,csv_commute_mode_long_v1,St Clement,car,3040,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_clement_motorbike,csv_commute_mode_long_v1,St Clement,motorbike,160,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_clement_walk,csv_commute_mode_long_v1,St Clement,walk,560,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_clement_bus,csv_commute_mode_long_v1,St Clement,bus,370,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_clement_cycle,csv_commute_mode_long_v1,St Clement,cycle,220,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_clement_work_from_home,csv_commute_mode_long_v1,St Clement,work_from_home,760,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_clement_other,csv_commute_mode_long_v1,St Clement,other,20,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_helier_car,csv_commute_mode_long_v1,St Helier,car,8390,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_helier_motorbike,csv_commute_mode_long_v1,St Helier,motorbike,470,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_helier_walk,csv_commute_mode_long_v1,St Helier,walk,9610,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_helier_bus,csv_commute_mode_long_v1,St Helier,bus,760,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_helier_cycle,csv_commute_mode_long_v1,St Helier,cycle,660,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_helier_work_from_home,csv_commute_mode_long_v1,St Helier,work_from_home,2270,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_helier_other,csv_commute_mode_long_v1,St Helier,other,100,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_john_car,csv_commute_mode_long_v1,St John,car,1120,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_john_motorbike,csv_commute_mode_long_v1,St John,motorbike,60,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_john_walk,csv_commute_mode_long_v1,St John,walk,70,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_john_bus,csv_commute_mode_long_v1,St John,bus,50,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_john_cycle,csv_commute_mode_long_v1,St John,cycle,70,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_john_work_from_home,csv_commute_mode_long_v1,St John,work_from_home,280,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_john_other,csv_commute_mode_long_v1,St John,other,10,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_lawrence_car,csv_commute_mode_long_v1,St Lawrence,car,1860,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_lawrence_motorbike,csv_commute_mode_long_v1,St Lawrence,motorbike,110,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_lawrence_walk,csv_commute_mode_long_v1,St Lawrence,walk,160,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_lawrence_bus,csv_commute_mode_long_v1,St Lawrence,bus,170,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_lawrence_cycle,csv_commute_mode_long_v1,St Lawrence,cycle,150,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_lawrence_work_from_home,csv_commute_mode_long_v1,St Lawrence,work_from_home,520,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_lawrence_other,csv_commute_mode_long_v1,St Lawrence,other,20,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_martin_car,csv_commute_mode_long_v1,St Martin,car,1370,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_martin_motorbike,csv_commute_mode_long_v1,St Martin,motorbike,50,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_martin_walk,csv_commute_mode_long_v1,St Martin,walk,80,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_martin_bus,csv_commute_mode_long_v1,St Martin,bus,100,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_martin_cycle,csv_commute_mode_long_v1,St Martin,cycle,90,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_martin_work_from_home,csv_commute_mode_long_v1,St Martin,work_from_home,380,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_martin_other,csv_commute_mode_long_v1,St Martin,other,10,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_mary_car,csv_commute_mode_long_v1,St Mary,car,640,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_mary_motorbike,csv_commute_mode_long_v1,St Mary,motorbike,40,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_mary_walk,csv_commute_mode_long_v1,St Mary,walk,20,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_mary_bus,csv_commute_mode_long_v1,St Mary,bus,20,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_mary_cycle,csv_commute_mode_long_v1,St Mary,cycle,50,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_mary_work_from_home,csv_commute_mode_long_v1,St Mary,work_from_home,180,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_mary_other,csv_commute_mode_long_v1,St Mary,other,,10,positive_less_than
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_ouen_car,csv_commute_mode_long_v1,St Ouen,car,1440,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_ouen_motorbike,csv_commute_mode_long_v1,St Ouen,motorbike,70,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_ouen_walk,csv_commute_mode_long_v1,St Ouen,walk,80,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_ouen_bus,csv_commute_mode_long_v1,St Ouen,bus,50,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_ouen_cycle,csv_commute_mode_long_v1,St Ouen,cycle,100,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_ouen_work_from_home,csv_commute_mode_long_v1,St Ouen,work_from_home,420,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_ouen_other,csv_commute_mode_long_v1,St Ouen,other,20,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_peter_car,csv_commute_mode_long_v1,St Peter,car,1660,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_peter_motorbike,csv_commute_mode_long_v1,St Peter,motorbike,90,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_peter_walk,csv_commute_mode_long_v1,St Peter,walk,170,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_peter_bus,csv_commute_mode_long_v1,St Peter,bus,110,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_peter_cycle,csv_commute_mode_long_v1,St Peter,cycle,150,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_peter_work_from_home,csv_commute_mode_long_v1,St Peter,work_from_home,430,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_peter_other,csv_commute_mode_long_v1,St Peter,other,20,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_saviour_car,csv_commute_mode_long_v1,St Saviour,car,4090,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_saviour_motorbike,csv_commute_mode_long_v1,St Saviour,motorbike,240,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_saviour_walk,csv_commute_mode_long_v1,St Saviour,walk,1800,,exact
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,observed,csv_st_saviour_bus,csv_commute_mode_long_v1,St Saviour,bus,210,,exact
