schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,date,measure,value,unit,reporting_status,upper_bound
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-30_col_CasesDailyNewConfirmedCases,csv_covid_daily_surveillance_long_v1,2020-07-30,daily_new_confirmed_cases,0,cases,reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-30_col_CasesTotalConfirmedPositiveCases,csv_covid_daily_surveillance_long_v1,2020-07-30,cumulative_confirmed_cases,,cases,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-30_col_CasesSymptomatic,csv_covid_daily_surveillance_long_v1,2020-07-30,symptomatic_cases,,cases,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-30_col_CasesAsymptomatic,csv_covid_daily_surveillance_long_v1,2020-07-30,asymptomatic_cases,,cases,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-30_col_CasesCurrentKnownActiveCases,csv_covid_daily_surveillance_long_v1,2020-07-30,current_known_active_cases,,cases,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-30_col_CasesSeven7DayNumberper100000,csv_covid_daily_surveillance_long_v1,2020-07-30,seven_day_rate_per_100k,,per_100000,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-30_col_TestsTotaltests,csv_covid_daily_surveillance_long_v1,2020-07-30,cumulative_tests,,tests,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-30_col_TestsReasonfortestseekinghealthcaresymptomatic,csv_covid_daily_surveillance_long_v1,2020-07-30,tests_reason_symptomatic,,tests,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-30_col_TestsReasonforTestInboundTravel,csv_covid_daily_surveillance_long_v1,2020-07-30,tests_reason_inbound_travel,,tests,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-30_col_TestsReasonforTestOnIslandSurveillanceScreening,csv_covid_daily_surveillance_long_v1,2020-07-30,tests_reason_on_island_screening,,tests,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-30_col_MortalityTotalDeaths,csv_covid_daily_surveillance_long_v1,2020-07-30,cumulative_deaths,31,deaths,reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-31_col_CasesDailyNewConfirmedCases,csv_covid_daily_surveillance_long_v1,2020-07-31,daily_new_confirmed_cases,0,cases,reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-31_col_CasesTotalConfirmedPositiveCases,csv_covid_daily_surveillance_long_v1,2020-07-31,cumulative_confirmed_cases,,cases,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-31_col_CasesSymptomatic,csv_covid_daily_surveillance_long_v1,2020-07-31,symptomatic_cases,,cases,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-31_col_CasesAsymptomatic,csv_covid_daily_surveillance_long_v1,2020-07-31,asymptomatic_cases,,cases,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-31_col_CasesCurrentKnownActiveCases,csv_covid_daily_surveillance_long_v1,2020-07-31,current_known_active_cases,,cases,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-31_col_CasesSeven7DayNumberper100000,csv_covid_daily_surveillance_long_v1,2020-07-31,seven_day_rate_per_100k,,per_100000,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-31_col_TestsTotaltests,csv_covid_daily_surveillance_long_v1,2020-07-31,cumulative_tests,,tests,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-31_col_TestsReasonfortestseekinghealthcaresymptomatic,csv_covid_daily_surveillance_long_v1,2020-07-31,tests_reason_symptomatic,,tests,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-31_col_TestsReasonforTestInboundTravel,csv_covid_daily_surveillance_long_v1,2020-07-31,tests_reason_inbound_travel,,tests,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-31_col_TestsReasonforTestOnIslandSurveillanceScreening,csv_covid_daily_surveillance_long_v1,2020-07-31,tests_reason_on_island_screening,,tests,not_reported,
1.0,covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,,2020-07-30/2023-02-01,observed,csv_row_2020-07-31_col_MortalityTotalDeaths,csv_covid_daily_surveillance_long_v1,2020-07-31,cumulative_deaths,31,deaths,reported,
