schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,date,measure,value,unit,reporting_status,upper_bound
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/22/20,jhu_csv_observed_v1,2020-01-22,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/22/20,jhu_csv_observed_v1,2020-01-22,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/23/20,jhu_csv_observed_v1,2020-01-23,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/23/20,jhu_csv_observed_v1,2020-01-23,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/24/20,jhu_csv_observed_v1,2020-01-24,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/24/20,jhu_csv_observed_v1,2020-01-24,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/25/20,jhu_csv_observed_v1,2020-01-25,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/25/20,jhu_csv_observed_v1,2020-01-25,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/26/20,jhu_csv_observed_v1,2020-01-26,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/26/20,jhu_csv_observed_v1,2020-01-26,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/27/20,jhu_csv_observed_v1,2020-01-27,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/27/20,jhu_csv_observed_v1,2020-01-27,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/28/20,jhu_csv_observed_v1,2020-01-28,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/28/20,jhu_csv_observed_v1,2020-01-28,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/29/20,jhu_csv_observed_v1,2020-01-29,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/29/20,jhu_csv_observed_v1,2020-01-29,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/30/20,jhu_csv_observed_v1,2020-01-30,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/30/20,jhu_csv_observed_v1,2020-01-30,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/31/20,jhu_csv_observed_v1,2020-01-31,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_1/31/20,jhu_csv_observed_v1,2020-01-31,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/1/20,jhu_csv_observed_v1,2020-02-01,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/1/20,jhu_csv_observed_v1,2020-02-01,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/2/20,jhu_csv_observed_v1,2020-02-02,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/2/20,jhu_csv_observed_v1,2020-02-02,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/3/20,jhu_csv_observed_v1,2020-02-03,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/3/20,jhu_csv_observed_v1,2020-02-03,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/4/20,jhu_csv_observed_v1,2020-02-04,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/4/20,jhu_csv_observed_v1,2020-02-04,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/5/20,jhu_csv_observed_v1,2020-02-05,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/5/20,jhu_csv_observed_v1,2020-02-05,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/6/20,jhu_csv_observed_v1,2020-02-06,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/6/20,jhu_csv_observed_v1,2020-02-06,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/7/20,jhu_csv_observed_v1,2020-02-07,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/7/20,jhu_csv_observed_v1,2020-02-07,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/8/20,jhu_csv_observed_v1,2020-02-08,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/8/20,jhu_csv_observed_v1,2020-02-08,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/9/20,jhu_csv_observed_v1,2020-02-09,cumulative_confirmed_cases,0,cases,reported,
1.0,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/9/20,jhu_csv_observed_v1,2020-02-09,cumulative_deaths,0,deaths,reported,
1.0,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,,2020-01-22/2023-03-09,observed,csv_row_Jersey_col_2/10/20,jhu_csv_observed_v1,2020-02-10,cumulative_confirmed_cases,0,cases,reported,
