schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,measure,value,unit,population,note,reporting_status,upper_bound
1.0,sars_cov2_serosurvey_2020_manual_fixture,ba1cc6e6d43cd377d89371e63fe13db956f18a03315dae837de25c648062c355,sars_cov2_serosurvey_2020_pdf,2020-04-29/2020-05-05,observed,pdf_page_1,manual_pdf_transcription_v1,estimated_population_prevalence_percent,3.1,percent,adults_16_plus_private_households,Headline estimated population prevalence; also repeated on pages 4 and 7.,reported,
1.0,sars_cov2_serosurvey_2020_manual_fixture,ba1cc6e6d43cd377d89371e63fe13db956f18a03315dae837de25c648062c355,sars_cov2_serosurvey_2020_pdf,2020-04-29/2020-05-05,observed,pdf_page_1,manual_pdf_transcription_v1,estimated_population_prevalence_ci95_half_width_percent,1.3,percent,adults_16_plus_private_households,95% confidence interval half-width for the headline estimate.,reported,
1.0,sars_cov2_serosurvey_2020_manual_fixture,ba1cc6e6d43cd377d89371e63fe13db956f18a03315dae837de25c648062c355,sars_cov2_serosurvey_2020_pdf,2020-04-29/2020-05-05,observed,pdf_page_6,manual_pdf_transcription_v1,observed_unweighted_prevalence_percent,2.9,percent,adults_16_plus_private_households,Observed prevalence before weighting.,reported,
1.0,sars_cov2_serosurvey_2020_manual_fixture,ba1cc6e6d43cd377d89371e63fe13db956f18a03315dae837de25c648062c355,sars_cov2_serosurvey_2020_pdf,2020-04-29/2020-05-05,observed,pdf_page_6,manual_pdf_transcription_v1,weighted_unadjusted_prevalence_percent,2.6,percent,adults_16_plus_private_households,Observed prevalence after weighting.,reported,
1.0,sars_cov2_serosurvey_2020_manual_fixture,ba1cc6e6d43cd377d89371e63fe13db956f18a03315dae837de25c648062c355,sars_cov2_serosurvey_2020_pdf,2020-04-29/2020-05-05,observed,pdf_page_2,manual_pdf_transcription_v1,households_tested,438,households,survey_sample,Households tested.,reported,
1.0,sars_cov2_serosurvey_2020_manual_fixture,ba1cc6e6d43cd377d89371e63fe13db956f18a03315dae837de25c648062c355,sars_cov2_serosurvey_2020_pdf,2020-04-29/2020-05-05,observed,pdf_page_2,manual_pdf_transcription_v1,individuals_tested,855,individuals,survey_sample,Individuals tested.,reported,
1.0,sars_cov2_serosurvey_2020_manual_fixture,ba1cc6e6d43cd377d89371e63fe13db956f18a03315dae837de25c648062c355,sars_cov2_serosurvey_2020_pdf,2020-04-29/2020-05-05,observed,pdf_page_2,manual_pdf_transcription_v1,response_rate_households_percent,63,percent,survey_sample,Household response rate.,reported,
1.0,sars_cov2_serosurvey_2020_manual_fixture,ba1cc6e6d43cd377d89371e63fe13db956f18a03315dae837de25c648062c355,sars_cov2_serosurvey_2020_pdf,2020-04-29/2020-05-05,observed,pdf_page_2,manual_pdf_transcription_v1,response_rate_individuals_percent,65,percent,survey_sample,Estimated individual response rate.,reported,
1.0,sars_cov2_serosurvey_2020_manual_fixture,ba1cc6e6d43cd377d89371e63fe13db956f18a03315dae837de25c648062c355,sars_cov2_serosurvey_2020_pdf,2020-04-29/2020-05-05,observed,pdf_page_7,manual_pdf_transcription_v1,assumed_test_sensitivity_percent,83.33,percent,assay_validation,Overall sensitivity.,reported,
1.0,sars_cov2_serosurvey_2020_manual_fixture,ba1cc6e6d43cd377d89371e63fe13db956f18a03315dae837de25c648062c355,sars_cov2_serosurvey_2020_pdf,2020-04-29/2020-05-05,observed,pdf_page_7,manual_pdf_transcription_v1,assumed_test_sensitivity_ci95_low_percent,74.94,percent,assay_validation,Lower 95% confidence limit for overall sensitivity.,reported,
1.0,sars_cov2_serosurvey_2020_manual_fixture,ba1cc6e6d43cd377d89371e63fe13db956f18a03315dae837de25c648062c355,sars_cov2_serosurvey_2020_pdf,2020-04-29/2020-05-05,observed,pdf_page_7,manual_pdf_transcription_v1,assumed_test_sensitivity_ci95_high_percent,89.81,percent,assay_validation,Upper 95% confidence limit for overall sensitivity.,reported,
1.0,sars_cov2_serosurvey_2020_manual_fixture,ba1cc6e6d43cd377d89371e63fe13db956f18a03315dae837de25c648062c355,sars_cov2_serosurvey_2020_pdf,2020-04-29/2020-05-05,observed,pdf_page_7,manual_pdf_transcription_v1,assumed_test_specificity_percent,100,percent,assay_validation,Overall specificity; specificity assumed to be 100%.,reported,
1.0,sars_cov2_serosurvey_2020_manual_fixture,ba1cc6e6d43cd377d89371e63fe13db956f18a03315dae837de25c648062c355,sars_cov2_serosurvey_2020_pdf,2020-04-29/2020-05-05,observed,pdf_page_1,manual_pdf_transcription_v1,minimum_age_years,16,years,adults_16_plus_private_households,Testing was not performed on persons aged under 16 years.,reported,
