schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,age_band,dose,value,unit,reporting_status,upper_bound
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_8_table_2_row_80+_col_first_dose_percent,manual_pdf_vaccination_subgroups_v1,80_plus,dose_1,97,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_8_table_2_row_60-64_col_first_dose_percent,manual_pdf_vaccination_subgroups_v1,60_to_64,dose_1,96,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_8_table_2_row_40-49_col_first_dose_percent,manual_pdf_vaccination_subgroups_v1,40_to_49,dose_1,89,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_8_table_2_row_30-39_col_first_dose_percent,manual_pdf_vaccination_subgroups_v1,30_to_39,dose_1,83,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_8_table_2_row_18-29_col_first_dose_percent,manual_pdf_vaccination_subgroups_v1,18_to_29,dose_1,81,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_8_table_2_row_16-17_col_first_dose_percent,manual_pdf_vaccination_subgroups_v1,16_to_17,dose_1,78,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_8_table_2_row_12-15_col_first_dose_percent,manual_pdf_vaccination_subgroups_v1,12_to_15,dose_1,65,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_8_table_2_row_5-11_col_first_dose_percent,manual_pdf_vaccination_subgroups_v1,5_to_11,dose_1,12,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_24_table_5_row_80+_col_first_and_second_dose_percent,manual_pdf_vaccination_subgroups_v1,80_plus,dose_1_and_2,97,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_24_table_5_row_75-79_col_first_and_second_dose_percent,manual_pdf_vaccination_subgroups_v1,75_to_79,dose_1_and_2,97,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_24_table_5_row_70-74_col_first_and_second_dose_percent,manual_pdf_vaccination_subgroups_v1,70_to_74,dose_1_and_2,96,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_24_table_5_row_65-69_col_first_and_second_dose_percent,manual_pdf_vaccination_subgroups_v1,65_to_69,dose_1_and_2,96,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_24_table_5_row_60-64_col_first_and_second_dose_percent,manual_pdf_vaccination_subgroups_v1,60_to_64,dose_1_and_2,95,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_24_table_5_row_55-59_col_first_and_second_dose_percent,manual_pdf_vaccination_subgroups_v1,55_to_59,dose_1_and_2,93,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_24_table_5_row_50-54_col_first_and_second_dose_percent,manual_pdf_vaccination_subgroups_v1,50_to_54,dose_1_and_2,92,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_24_table_5_row_40-49_col_first_and_second_dose_percent,manual_pdf_vaccination_subgroups_v1,40_to_49,dose_1_and_2,88,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_24_table_5_row_30-39_col_first_and_second_dose_percent,manual_pdf_vaccination_subgroups_v1,30_to_39,dose_1_and_2,82,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_24_table_5_row_18-29_col_first_and_second_dose_percent,manual_pdf_vaccination_subgroups_v1,18_to_29,dose_1_and_2,79,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_24_table_5_row_16-17_col_first_and_second_dose_percent,manual_pdf_vaccination_subgroups_v1,16_to_17,dose_1_and_2,70,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_24_table_5_row_12-15_col_first_and_second_dose_percent,manual_pdf_vaccination_subgroups_v1,12_to_15,dose_1_and_2,52,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_24_table_5_row_5-11_col_first_and_second_dose_percent,manual_pdf_vaccination_subgroups_v1,5_to_11,dose_1_and_2,10,percent,reported,
1.0,covid19_vaccination_pcr_insights_pdf,c8a04fbfa06d9ed23dc71c7a5f46e2914dafd7484b80f104cc6550847c7848f8,,2020-02-01/2022-12-31,observed,pdf_page_24_table_5_row_Total_col_first_and_second_dose_percent,manual_pdf_vaccination_subgroups_v1,all,dose_1_and_2,78,percent,reported,
