schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,date,value,unit,reporting_status,upper_bound
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-03-14,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-21_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-03-21,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-28_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-03-28,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-04-04_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-04-04,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-04-11_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-04-11,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-04-18_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-04-18,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-04-25_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-04-25,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-05-02_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-05-02,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-05-12_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-05-12,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-05-16_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-05-16,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-05-19_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-05-19,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-05-23_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-05-23,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-05-26_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-05-26,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-05-30_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-05-30,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-06-02_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-06-02,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-06-06_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-06-06,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-06-09_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-06-09,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-06-13_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-06-13,107800,persons,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-06-16_col_EligiblePopulation,csv_covid_weekly_eligible_population_v1,2021-06-16,107800,persons,reported,
