schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,week_ending,dose,age_band,metric,value,reporting_status,upper_bound
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalNumberFirstDoseVaccinations,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_1,all,cumulative_doses,40137,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalNumberSecondDoseVaccinations,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_2,all,cumulative_doses,5621,reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalNumberThirdDoseVaccinations,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_3,all,cumulative_doses,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalNumberFourthDoseVaccinations,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_4,all,cumulative_doses,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalNumberFirstDoseVaccinationsPercentage,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_1,all,percent_population,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalNumberSecondDoseVaccinationsPercentage,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_2,all,percent_population,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalNumberThirdDoseVaccinationsPercentage,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_3,all,percent_population,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalNumberFourthDoseVaccinationsPercentage,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_4,all,percent_population,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalVaccinationDosesFirstDose80yearsandover,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_1,80_plus,cumulative_doses,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalVaccinationDosesFirstDose75to79years,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_1,75_to_79,cumulative_doses,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalVaccinationDosesFirstDose70to74years,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_1,70_to_74,cumulative_doses,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalVaccinationDosesFirstDose65to69years,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_1,65_to_69,cumulative_doses,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalVaccinationDosesFirstDose60to64years,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_1,60_to_64,cumulative_doses,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalVaccinationDosesFirstDose55to59years,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_1,55_to_59,cumulative_doses,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalVaccinationDosesFirstDose50to54years,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_1,50_to_54,cumulative_doses,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalVaccinationDosesFirstDose40to49years,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_1,40_to_49,cumulative_doses,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalVaccinationDosesFirstDose30to39years,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_1,30_to_39,cumulative_doses,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalVaccinationDosesFirstDose18to29years,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_1,18_to_29,cumulative_doses,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalVaccinationDosesFirstDose17yearsandunder,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_1,17_and_under,cumulative_doses,,not_reported,
1.0,covid19_weekly_vaccination_csv,f6708113693c77fefb0d43f8a2551d6f6fcb2fc1db69a5b128087c64280a382a,,2021-03-14/2023-01-29,observed,csv_row_2021-03-14_col_VaccinationsTotalVaccinationDosesFirstDose16to17years,csv_covid_weekly_vaccination_long_v1,2021-03-14,dose_1,16_to_17,cumulative_doses,,not_reported,
