schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,measure,category,value,unit,reference,source_table,check_status
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,population_share,Grouville,0.0523013160060813,proportion,2021 parish population total,parish_population.csv,passed
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,population_share,St Brelade,0.106636195493236,proportion,2021 parish population total,parish_population.csv,passed
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,population_share,St Clement,0.0961100835697754,proportion,2021 parish population total,parish_population.csv,passed
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,population_share,St Helier,0.346887195328614,proportion,2021 parish population total,parish_population.csv,passed
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,population_share,St John,0.0295447722893083,proportion,2021 parish population total,parish_population.csv,passed
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,population_share,St Lawrence,0.0538506977059467,proportion,2021 parish population total,parish_population.csv,passed
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,population_share,St Martin,0.0382309934441787,proportion,2021 parish population total,parish_population.csv,passed
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,population_share,St Mary,0.0176048495647206,proportion,2021 parish population total,parish_population.csv,passed
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,population_share,St Ouen,0.0407293714352116,proportion,2021 parish population total,parish_population.csv,passed
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,population_share,St Peter,0.0509746579255716,proportion,2021 parish population total,parish_population.csv,passed
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,population_share,St Saviour,0.134641269718303,proportion,2021 parish population total,parish_population.csv,passed
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,population_share,Trinity,0.0324885975190526,proportion,2021 parish population total,parish_population.csv,passed
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,household_type_share,Single adult,0.192965928717224,proportion,2021 private household total,household_types.csv,passed
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,household_type_share,Couple (adult),0.154408631092569,proportion,2021 private household total,household_types.csv,passed
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,household_type_share,Single parent (with dependent children),0.0381984164367584,proportion,2021 private household total,household_types.csv,passed
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,household_type_share,Single parent (all children 16 years or more),0.0444788372249512,proportion,2021 private household total,household_types.csv,passed
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,household_type_share,Couple with dependent children,0.176905995558845,proportion,2021 private household total,household_types.csv,passed
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,household_type_share,Couple with children (all children 16 years or more),0.0810622883161743,proportion,2021 private household total,household_types.csv,passed
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,household_type_share,Couple (one pensioner),0.0298544288181594,proportion,2021 private household total,household_types.csv,passed
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,household_type_share,Single pensioner,0.12253549559249,proportion,2021 private household total,household_types.csv,passed
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,household_type_share,Two or more pensioners,0.0927483569970617,proportion,2021 private household total,household_types.csv,passed
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,household_type_share,Two or more unrelated persons,0.0176973285781576,proportion,2021 private household total,household_types.csv,passed
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,household_type_share,Other,0.0491442926676087,proportion,2021 private household total,household_types.csv,passed
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,commute_mode_share,car,0.517788629229159,proportion,2021 all-parish published mode total,commute_modes.csv,warning
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,commute_mode_share,motorbike,0.0277293337983955,proportion,2021 all-parish published mode total,commute_modes.csv,warning
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,commute_mode_share,walk,0.230205790024416,proportion,2021 all-parish published mode total,commute_modes.csv,warning
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,commute_mode_share,bus,0.0402860132542728,proportion,2021 all-parish published mode total,commute_modes.csv,warning
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,commute_mode_share,cycle,0.0416811998604813,proportion,2021 all-parish published mode total,commute_modes.csv,warning
1.0,census_2021_commute_mode_csv,991a92f1eba7ac05751eac0376a3eabeb3ecb1eee5cfcbe3336545257cb031d6,,2021-03-21,derived,derived_from_canonical_tables,canonical_derived_controls_v1,commute_mode_share,work_from_home,0.136728287408441,proportion,2021 all-parish published mode total,commute_modes.csv,warning
