schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,measure,sector,sex,value,unit
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_agriculture_and_fishing_male,csv_industry_sex_long_v1,resident_workers,Agriculture and fishing,male,735,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_agriculture_and_fishing_female,csv_industry_sex_long_v1,resident_workers,Agriculture and fishing,female,326,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_agriculture_and_fishing_all,csv_industry_sex_long_v1,resident_workers,Agriculture and fishing,all,1061,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_manufacturing_male,csv_industry_sex_long_v1,resident_workers,Manufacturing,male,603,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_manufacturing_female,csv_industry_sex_long_v1,resident_workers,Manufacturing,female,239,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_manufacturing_all,csv_industry_sex_long_v1,resident_workers,Manufacturing,all,842,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_construction_and_quarrying_male,csv_industry_sex_long_v1,resident_workers,Construction and quarrying,male,6009,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_construction_and_quarrying_female,csv_industry_sex_long_v1,resident_workers,Construction and quarrying,female,449,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_construction_and_quarrying_all,csv_industry_sex_long_v1,resident_workers,Construction and quarrying,all,6458,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_utilities_and_waste_male,csv_industry_sex_long_v1,resident_workers,Utilities and waste,male,661,people
