schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,household_type,households
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_44,manual_pdf_transcription_v1,Single adult,8603
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_44,manual_pdf_transcription_v1,Couple (adult),6884
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_44,manual_pdf_transcription_v1,Single parent (with dependent children),1703
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_44,manual_pdf_transcription_v1,Single parent (all children 16 years or more),1983
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_44,manual_pdf_transcription_v1,Couple with dependent children,7887
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_44,manual_pdf_transcription_v1,Couple with children (all children 16 years or more),3614
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_44,manual_pdf_transcription_v1,Couple (one pensioner),1331
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_44,manual_pdf_transcription_v1,Single pensioner,5463
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_44,manual_pdf_transcription_v1,Two or more pensioners,4135
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_44,manual_pdf_transcription_v1,Two or more unrelated persons,789
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_44,manual_pdf_transcription_v1,Other,2191
