schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,measure,category,subcategory,value,unit
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_37,manual_pdf_transcription_v1,occupied_private_dwellings,report_control,,44583,dwellings
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_37,manual_pdf_transcription_v1,persons_in_private_dwellings,report_control,,101188,people
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_37,manual_pdf_transcription_v1,mean_persons_per_private_dwelling,report_control,,2.27,persons_per_dwelling
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_37,manual_pdf_transcription_v1,mean_bedrooms_per_private_dwelling,report_control,,2.47,bedrooms_per_dwelling
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_9,manual_pdf_transcription_v1,overcrowded_households,report_control,,4,percent
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_9,manual_pdf_transcription_v1,under_occupied_households,report_control,,26.4,percent
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_9,manual_pdf_transcription_v1,occupied_dwellings_that_are_houses,report_control,,55,percent
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_9,manual_pdf_transcription_v1,occupied_dwellings_that_are_flats,report_control,,44,percent
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_78,manual_pdf_transcription_v1,households_without_car_or_van,report_control,,16,percent
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_78,manual_pdf_transcription_v1,st_helier_households_without_car_or_van,report_control,St Helier,30,percent
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_adult_owner_occupied,csv_household_tenure_long_v1,households,household_type,Single adult | Owner Occupied,2780,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_adult_social_rental,csv_household_tenure_long_v1,households,household_type,Single adult | Social Rental,1120,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_adult_qualified_rental,csv_household_tenure_long_v1,households,household_type,Single adult | Qualified Rental,3070,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_adult_staff_or_service_accom,csv_household_tenure_long_v1,households,household_type,Single adult | Staff or service accom.,440,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_adult_registered_lodging_house,csv_household_tenure_long_v1,households,household_type,Single adult | Registered lodging house,330,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_adult_private_lodging,csv_household_tenure_long_v1,households,household_type,Single adult | Private lodging,330,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_adult_other_non_qualified_accom,csv_household_tenure_long_v1,households,household_type,Single adult | Other non-qualified accom.,530,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_adult_owner_occupied,csv_household_tenure_long_v1,households,household_type,Couple (adult) | Owner Occupied,3710,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_adult_social_rental,csv_household_tenure_long_v1,households,household_type,Couple (adult) | Social Rental,230,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_adult_qualified_rental,csv_household_tenure_long_v1,households,household_type,Couple (adult) | Qualified Rental,2070,households
