schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,parish,population,density_person_km2
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,observed,csv_grouville,csv_parish_population_v1,Grouville,5401,658
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,observed,csv_st_brelade,csv_parish_population_v1,St Brelade,11012,830
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,observed,csv_st_clement,csv_parish_population_v1,St Clement,9925,2262
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,observed,csv_st_helier,csv_parish_population_v1,St Helier,35822,3716
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,observed,csv_st_john,csv_parish_population_v1,St John,3051,332
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,observed,csv_st_lawrence,csv_parish_population_v1,St Lawrence,5561,566
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,observed,csv_st_martin,csv_parish_population_v1,St Martin,3948,384
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,observed,csv_st_mary,csv_parish_population_v1,St Mary,1818,277
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,observed,csv_st_ouen,csv_parish_population_v1,St Ouen,4206,274
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,observed,csv_st_peter,csv_parish_population_v1,St Peter,5264,448
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,observed,csv_st_saviour,csv_parish_population_v1,St Saviour,13904,1498
1.0,census_2021_parish_population_density_csv,e46abd1eac1c13087fa92a3ecba9bb049b179d94868b7b9c967224f5127818ab,,2021-03-21,observed,csv_trinity,csv_parish_population_v1,Trinity,3355,267
