schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,year,age,sex,count,reporting_status,upper_bound
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2011_age_0_col_Male,annual_estimates_observed_v1,2011,0,male,540,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2011_age_0_col_Female,annual_estimates_observed_v1,2011,0,female,530,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2011_age_0_Male_and_Female,annual_estimates_sex_sum_v1,2011,0,all,1070,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2011_age_1_col_Male,annual_estimates_observed_v1,2011,1,male,520,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2011_age_1_col_Female,annual_estimates_observed_v1,2011,1,female,550,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2011_age_1_Male_and_Female,annual_estimates_sex_sum_v1,2011,1,all,1070,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2011_age_2_col_Male,annual_estimates_observed_v1,2011,2,male,500,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2011_age_2_col_Female,annual_estimates_observed_v1,2011,2,female,490,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2011_age_2_Male_and_Female,annual_estimates_sex_sum_v1,2011,2,all,990,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2011_age_3_col_Male,annual_estimates_observed_v1,2011,3,male,490,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2011_age_3_col_Female,annual_estimates_observed_v1,2011,3,female,520,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2011_age_3_Male_and_Female,annual_estimates_sex_sum_v1,2011,3,all,1010,reported,
