schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,sector,size_band,count,upper_bound,censoring,unit
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Agriculture and fishing,1,90,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Agriculture and fishing,2-5,40,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Agriculture and fishing,6-9,10,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Agriculture and fishing,10-19,20,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Agriculture and fishing,20-49,10,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Agriculture and fishing,50+,,5,positive_less_than,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Manufacturing utilities and waste,1,190,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Manufacturing utilities and waste,2-5,70,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Manufacturing utilities and waste,6-9,20,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Manufacturing utilities and waste,10-19,20,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Manufacturing utilities and waste,20-49,10,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Manufacturing utilities and waste,50+,10,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Construction and quarrying,1,870,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Construction and quarrying,2-5,430,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Construction and quarrying,6-9,110,,exact,undertakings
