Year,Age,Male,Female
2011,0,540,530
2011,1,520,550
2011,2,500,490
2011,3,490,520
2011,4,500,500
2011,5,480,510
2011,6,490,480
2011,7,500,480
2011,8,520,490
2011,9,450,480
2011,10,520,490
2011,11,480,470
2011,12,560,500
2011,13,530,540
2011,14,580,510
2011,15,580,560
2011,16,580,500
2011,17,580,560
2011,18,550,500
2011,19,600,550
2011,20,570,570
2011,21,590,590
2011,22,570,600
2011,23,610,590
2011,24,630,560
2011,25,550,590
2011,26,630,590
2011,27,660,670
2011,28,670,690
2011,29,710,670
2011,30,700,760
2011,31,740,740
2011,32,740,740
2011,33,680,680
2011,34,740,710
2011,35,730,670
2011,36,700,720
2011,37,690,690
2011,38,720,710
2011,39,710,720
2011,40,780,790
2011,41,790,800
2011,42,800,860
2011,43,920,800
2011,44,810,870
2011,45,840,880
2011,46,870,850
2011,47,880,870
2011,48,860,820
2011,49,800,810
2011,50,740,750
2011,51,750,730
2011,52,700,730
2011,53,720,770
2011,54,670,700
2011,55,670,670
2011,56,580,640
2011,57,610,590
2011,58,590,590
2011,59,540,630
2011,60,580,590
2011,61,570,540
2011,62,550,540
2011,63,550,550
2011,64,600,580
2011,65,510,560
2011,66,410,440
2011,67,440,480
2011,68,380,420
2011,69,350,370
2011,70,310,370
2011,71,370,400
2011,72,370,370
2011,73,340,380
2011,74,320,360
2011,75,320,350
2011,76,310,330
2011,77,280,330
2011,78,260,320
2011,79,200,290
2011,80,220,260
2011,81,190,280
2011,82,160,230
2011,83,140,260
2011,84,150,180
2011,85,120,190
2011,86,120,180
2011,87,90,150
2011,88,70,140
2011,89,70,130
2011,90,50,110
2011,91,40,120
2011,92,30,70
2011,93,10,50
2011,94,10,40
2011,95,10,30
2011,96,10,20
2011,97,10,20
2011,98,10,20
2011,99,0,10
2011,100,0,10
2012,0,580,550
2012,1,540,530
2012,2,520,550
2012,3,500,490
2012,4,500,520
2012,5,500,500
2012,6,480,510
2012,7,490,480
2012,8,500,480
2012,9,530,490
2012,10,450,480
2012,11,520,490
2012,12,480,470
2012,13,560,500
2012,14,540,550
2012,15,580,510
2012,16,580,560
2012,17,580,500
2012,18,590,570
2012,19,550,500
2012,20,610,560
2012,21,570,570
2012,22,600,600
2012,23,580,600
2012,24,620,600
2012,25,640,570
2012,26,560,600
2012,27,640,600
2012,28,670,690
2012,29,680,690
2012,30,720,680
2012,31,710,760
2012,32,740,750
2012,33,740,750
2012,34,690,680
2012,35,750,710
2012,36,730,680
2012,37,710,720
2012,38,690,700
2012,39,720,710
2012,40,710,720
2012,41,790,790
2012,42,800,800
2012,43,800,860
2012,44,920,800
2012,45,820,870
2012,46,840,880
2012,47,870,850
2012,48,870,870
2012,49,860,820
2012,50,800,810
2012,51,740,750
2012,52,750,730
2012,53,700,730
2012,54,710,760
2012,55,670,690
2012,56,660,660
2012,57,570,630
2012,58,610,590
2012,59,580,580
2012,60,530,620
2012,61,570,580
2012,62,560,540
2012,63,530,530
2012,64,540,550
2012,65,580,570
2012,66,500,560
2012,67,410,440
2012,68,430,470
2012,69,380,410
2012,70,330,360
2012,71,300,370
2012,72,360,400
2012,73,360,370
2012,74,340,380
2012,75,310,360
2012,76,310,340
2012,77,300,320
2012,78,270,320
2012,79,250,310
2012,80,190,280
2012,81,200,250
2012,82,180,260
2012,83,150,220
2012,84,130,240
2012,85,130,170
2012,86,110,180
2012,87,100,160
2012,88,80,140
2012,89,60,120
2012,90,60,110
2012,91,40,100
2012,92,30,100
2012,93,20,50
2012,94,10,40
2012,95,0,40
2012,96,10,20
2012,97,0,20
2012,98,0,20
2012,99,0,10
2012,100,0,10
2013,0,530,490
2013,1,570,550
2013,2,540,530
2013,3,520,550
2013,4,500,490
2013,5,500,530
2013,6,510,510
2013,7,490,510
2013,8,490,480
2013,9,500,480
2013,10,530,490
2013,11,450,480
2013,12,520,490
2013,13,480,480
2013,14,560,500
2013,15,540,550
2013,16,580,520
2013,17,590,570
2013,18,590,510
2013,19,590,570
2013,20,560,510
2013,21,610,560
2013,22,570,580
2013,23,610,600
2013,24,590,610
2013,25,620,610
2013,26,660,580
2013,27,580,610
2013,28,660,610
2013,29,680,700
2013,30,700,700
2013,31,730,680
2013,32,720,770
2013,33,750,750
2013,34,740,760
2013,35,700,690
2013,36,750,720
2013,37,730,680
2013,38,720,720
2013,39,700,710
2013,40,730,710
2013,41,720,730
2013,42,800,800
2013,43,800,800
2013,44,810,850
2013,45,920,800
2013,46,820,870
2013,47,840,870
2013,48,870,850
2013,49,870,860
2013,50,850,820
2013,51,800,800
2013,52,740,740
2013,53,750,720
2013,54,700,720
2013,55,710,750
2013,56,670,690
2013,57,650,650
2013,58,560,620
2013,59,600,580
2013,60,570,570
2013,61,530,610
2013,62,570,580
2013,63,550,540
2013,64,520,530
2013,65,530,540
2013,66,570,570
2013,67,490,550
2013,68,400,430
2013,69,420,470
2013,70,370,410
2013,71,320,360
2013,72,290,360
2013,73,350,390
2013,74,360,360
2013,75,330,370
2013,76,310,360
2013,77,300,330
2013,78,280,310
2013,79,260,310
2013,80,240,300
2013,81,180,270
2013,82,190,250
2013,83,160,250
2013,84,130,210
2013,85,110,220
2013,86,110,160
2013,87,100,170
2013,88,90,150
2013,89,70,120
2013,90,50,110
2013,91,50,100
2013,92,30,80
2013,93,20,80
2013,94,10,40
2013,95,10,30
2013,96,0,30
2013,97,10,20
2013,98,0,10
2013,99,0,10
2013,100,0,10
2014,0,490,490
2014,1,530,490
2014,2,570,550
2014,3,540,530
2014,4,520,550
2014,5,510,500
2014,6,500,540
2014,7,510,510
2014,8,490,510
2014,9,500,490
2014,10,510,490
2014,11,530,490
2014,12,460,480
2014,13,520,490
2014,14,480,480
2014,15,560,500
2014,16,550,550
2014,17,590,520
2014,18,590,570
2014,19,590,510
2014,20,600,580
2014,21,570,510
2014,22,620,560
2014,23,580,580
2014,24,620,600
2014,25,600,610
2014,26,630,630
2014,27,670,600
2014,28,590,620
2014,29,670,620
2014,30,700,720
2014,31,710,710
2014,32,750,690
2014,33,730,780
2014,34,760,760
2014,35,750,760
2014,36,710,690
2014,37,750,720
2014,38,730,690
2014,39,730,730
2014,40,710,710
2014,41,730,710
2014,42,720,730
2014,43,800,800
2014,44,800,810
2014,45,810,850
2014,46,920,800
2014,47,820,870
2014,48,840,870
2014,49,870,850
2014,50,870,860
2014,51,850,820
2014,52,800,800
2014,53,740,730
2014,54,750,720
2014,55,690,710
2014,56,710,740
2014,57,660,680
2014,58,650,650
2014,59,560,620
2014,60,590,580
2014,61,570,570
2014,62,520,600
2014,63,560,570
2014,64,550,530
2014,65,520,530
2014,66,520,540
2014,67,560,560
2014,68,490,550
2014,69,390,430
2014,70,420,470
2014,71,370,410
2014,72,310,350
2014,73,290,360
2014,74,350,390
2014,75,360,360
2014,76,320,360
2014,77,300,350
2014,78,280,330
2014,79,270,300
2014,80,250,300
2014,81,230,290
2014,82,170,260
2014,83,180,240
2014,84,150,230
2014,85,130,200
2014,86,100,210
2014,87,100,140
2014,88,90,160
2014,89,80,130
2014,90,60,110
2014,91,50,100
2014,92,50,80
2014,93,20,70
2014,94,20,70
2014,95,10,30
2014,96,10,30
2014,97,0,30
2014,98,10,10
2014,99,0,10
2014,100,0,10
2015,0,520,500
2015,1,480,470
2015,2,530,490
2015,3,570,560
2015,4,540,530
2015,5,530,550
2015,6,510,500
2015,7,500,550
2015,8,520,520
2015,9,490,510
2015,10,500,500
2015,11,510,500
2015,12,530,490
2015,13,460,480
2015,14,520,500
2015,15,480,480
2015,16,560,510
2015,17,560,560
2015,18,590,530
2015,19,600,580
2015,20,610,530
2015,21,610,600
2015,22,580,520
2015,23,630,570
2015,24,580,590
2015,25,640,600
2015,26,620,620
2015,27,640,650
2015,28,710,620
2015,29,610,650
2015,30,690,640
2015,31,720,750
2015,32,740,730
2015,33,780,700
2015,34,750,790
2015,35,770,770
2015,36,760,780
2015,37,730,700
2015,38,770,730
2015,39,730,710
2015,40,740,730
2015,41,730,730
2015,42,750,710
2015,43,740,740
2015,44,820,810
2015,45,800,820
2015,46,820,850
2015,47,920,800
2015,48,830,880
2015,49,850,870
2015,50,870,860
2015,51,870,860
2015,52,840,810
2015,53,810,800
2015,54,750,720
2015,55,740,720
2015,56,690,710
2015,57,710,730
2015,58,660,680
2015,59,640,640
2015,60,560,610
2015,61,590,570
2015,62,560,560
2015,63,520,590
2015,64,560,570
2015,65,540,530
2015,66,510,520
2015,67,520,530
2015,68,550,550
2015,69,480,540
2015,70,370,420
2015,71,410,460
2015,72,360,400
2015,73,300,350
2015,74,280,350
2015,75,340,380
2015,76,350,360
2015,77,310,350
2015,78,280,350
2015,79,270,330
2015,80,260,280
2015,81,230,290
2015,82,220,270
2015,83,160,250
2015,84,170,220
2015,85,140,220
2015,86,110,190
2015,87,90,190
2015,88,80,130
2015,89,80,150
2015,90,70,110
2015,91,50,100
2015,92,40,80
2015,93,30,70
2015,94,10,60
2015,95,10,60
2015,96,10,20
2015,97,10,20
2015,98,0,20
2015,99,0,10
2015,100,0,10
2016,0,530,500
2016,1,550,510
2016,2,460,460
2016,3,530,490
2016,4,570,560
2016,5,540,530
2016,6,530,550
2016,7,520,500
2016,8,500,560
2016,9,520,530
2016,10,500,510
2016,11,510,510
2016,12,520,500
2016,13,540,490
2016,14,460,490
2016,15,520,500
2016,16,490,480
2016,17,560,520
2016,18,570,560
2016,19,590,540
2016,20,610,590
2016,21,610,530
2016,22,620,610
2016,23,590,530
2016,24,640,570
2016,25,590,600
2016,26,660,610
2016,27,640,630
2016,28,650,680
2016,29,740,640
2016,30,630,670
2016,31,710,660
2016,32,740,770
2016,33,770,740
2016,34,800,710
2016,35,770,800
2016,36,780,780
2016,37,770,790
2016,38,740,710
2016,39,780,740
2016,40,730,720
2016,41,750,740
2016,42,750,740
2016,43,760,710
2016,44,750,750
2016,45,830,820
2016,46,810,820
2016,47,830,840
2016,48,930,800
2016,49,830,880
2016,50,850,870
2016,51,870,860
2016,52,870,860
2016,53,830,810
2016,54,810,790
2016,55,750,720
2016,56,740,710
2016,57,690,700
2016,58,710,730
2016,59,660,670
2016,60,630,630
2016,61,550,600
2016,62,580,570
2016,63,550,550
2016,64,510,580
2016,65,550,560
2016,66,530,530
2016,67,500,520
2016,68,510,530
2016,69,530,540
2016,70,470,530
2016,71,360,420
2016,72,400,450
2016,73,360,400
2016,74,290,340
2016,75,280,350
2016,76,330,360
2016,77,330,350
2016,78,310,340
2016,79,270,340
2016,80,250,320
2016,81,250,270
2016,82,220,280
2016,83,200,260
2016,84,150,240
2016,85,150,210
2016,86,130,210
2016,87,110,180
2016,88,80,170
2016,89,70,110
2016,90,70,140
2016,91,60,100
2016,92,40,80
2016,93,30,70
2016,94,30,50
2016,95,10,40
2016,96,10,40
2016,97,10,20
2016,98,0,20
2016,99,0,10
2016,100,0,10
2017,0,500,460
2017,1,530,510
2017,2,550,510
2017,3,490,500
2017,4,540,520
2017,5,570,560
2017,6,550,540
2017,7,530,550
2017,8,520,500
2017,9,510,560
2017,10,520,520
2017,11,500,520
2017,12,510,510
2017,13,520,500
2017,14,530,480
2017,15,460,490
2017,16,520,500
2017,17,490,480
2017,18,580,520
2017,19,580,570
2017,20,610,560
2017,21,620,570
2017,22,590,510
2017,23,620,600
2017,24,570,550
2017,25,630,590
2017,26,600,610
2017,27,660,610
2017,28,630,640
2017,29,660,670
2017,30,730,640
2017,31,640,680
2017,32,720,670
2017,33,760,770
2017,34,760,750
2017,35,800,720
2017,36,780,810
2017,37,790,790
2017,38,780,800
2017,39,740,710
2017,40,770,750
2017,41,740,710
2017,42,750,740
2017,43,750,730
2017,44,760,730
2017,45,750,750
2017,46,840,810
2017,47,830,820
2017,48,830,840
2017,49,920,810
2017,50,840,880
2017,51,850,870
2017,52,880,850
2017,53,870,860
2017,54,840,800
2017,55,810,790
2017,56,750,730
2017,57,730,700
2017,58,670,710
2017,59,700,730
2017,60,650,670
2017,61,620,640
2017,62,540,590
2017,63,580,550
2017,64,550,550
2017,65,510,580
2017,66,530,550
2017,67,520,530
2017,68,490,520
2017,69,510,530
2017,70,520,530
2017,71,460,520
2017,72,360,410
2017,73,400,450
2017,74,350,390
2017,75,280,340
2017,76,280,340
2017,77,330,350
2017,78,320,340
2017,79,290,340
2017,80,260,330
2017,81,240,310
2017,82,230,260
2017,83,200,270
2017,84,180,250
2017,85,140,220
2017,86,140,200
2017,87,120,180
2017,88,90,160
2017,89,70,150
2017,90,60,100
2017,91,50,120
2017,92,50,90
2017,93,30,70
2017,94,30,60
2017,95,20,40
2017,96,10,30
2017,97,10,30
2017,98,0,10
2017,99,0,10
2017,100,0,10
2018,0,470,490
2018,1,510,450
2018,2,520,510
2018,3,540,520
2018,4,500,510
2018,5,540,520
2018,6,580,560
2018,7,540,530
2018,8,530,550
2018,9,530,500
2018,10,510,570
2018,11,520,530
2018,12,510,520
2018,13,500,490
2018,14,520,500
2018,15,540,490
2018,16,460,490
2018,17,530,510
2018,18,510,500
2018,19,610,540
2018,20,600,570
2018,21,620,570
2018,22,610,560
2018,23,580,510
2018,24,630,600
2018,25,590,560
2018,26,610,600
2018,27,600,630
2018,28,670,640
2018,29,640,640
2018,30,660,680
2018,31,740,650
2018,32,670,680
2018,33,730,670
2018,34,770,780
2018,35,760,770
2018,36,800,720
2018,37,770,820
2018,38,800,800
2018,39,800,800
2018,40,740,700
2018,41,770,750
2018,42,740,710
2018,43,760,740
2018,44,760,740
2018,45,770,730
2018,46,750,750
2018,47,840,820
2018,48,840,820
2018,49,830,840
2018,50,920,810
2018,51,850,860
2018,52,860,880
2018,53,880,850
2018,54,860,860
2018,55,830,800
2018,56,800,780
2018,57,740,730
2018,58,730,700
2018,59,660,710
2018,60,690,720
2018,61,630,660
2018,62,610,620
2018,63,550,590
2018,64,570,560
2018,65,550,540
2018,66,490,570
2018,67,520,540
2018,68,510,520
2018,69,480,520
2018,70,500,530
2018,71,510,530
2018,72,450,520
2018,73,350,400
2018,74,390,450
2018,75,340,380
2018,76,270,330
2018,77,270,320
2018,78,310,350
2018,79,310,330
2018,80,280,320
2018,81,240,320
2018,82,230,290
2018,83,210,250
2018,84,190,260
2018,85,160,240
2018,86,130,210
2018,87,130,190
2018,88,110,160
2018,89,70,140
2018,90,60,140
2018,91,50,80
2018,92,40,100
2018,93,40,70
2018,94,10,60
2018,95,20,50
2018,96,20,30
2018,97,10,20
2018,98,10,10
2018,99,0,10
2018,100,0,10
2019,0,500,400
2019,1,470,480
2019,2,510,460
2019,3,530,510
2019,4,550,510
2019,5,500,510
2019,6,550,520
2019,7,570,560
2019,8,550,550
2019,9,540,550
2019,10,530,510
2019,11,510,570
2019,12,520,540
2019,13,500,520
2019,14,500,500
2019,15,520,510
2019,16,540,500
2019,17,470,500
2019,18,540,520
2019,19,520,500
2019,20,600,550
2019,21,590,570
2019,22,610,560
2019,23,610,570
2019,24,590,500
2019,25,620,600
2019,26,590,570
2019,27,620,600
2019,28,590,620
2019,29,680,640
2019,30,630,650
2019,31,670,700
2019,32,740,650
2019,33,660,680
2019,34,720,670
2019,35,760,770
2019,36,760,760
2019,37,800,730
2019,38,770,810
2019,39,790,790
2019,40,780,800
2019,41,730,690
2019,42,770,760
2019,43,730,710
2019,44,760,750
2019,45,760,740
2019,46,770,720
2019,47,740,750
2019,48,830,820
2019,49,820,820
2019,50,820,840
2019,51,920,810
2019,52,850,840
2019,53,850,870
2019,54,880,850
2019,55,860,860
2019,56,830,790
2019,57,790,770
2019,58,740,720
2019,59,730,690
2019,60,650,700
2019,61,680,700
2019,62,620,650
2019,63,610,600
2019,64,540,580
2019,65,560,560
2019,66,530,540
2019,67,480,560
2019,68,510,540
2019,69,500,520
2019,70,460,500
2019,71,480,510
2019,72,500,520
2019,73,440,510
2019,74,340,390
2019,75,370,440
2019,76,320,380
2019,77,260,320
2019,78,260,320
2019,79,290,340
2019,80,300,310
2019,81,270,320
2019,82,230,300
2019,83,220,290
2019,84,190,240
2019,85,170,240
2019,86,150,220
2019,87,120,190
2019,88,110,170
2019,89,90,150
2019,90,60,130
2019,91,50,120
2019,92,40,70
2019,93,30,90
2019,94,40,60
2019,95,10,50
2019,96,10,40
2019,97,10,20
2019,98,0,20
2019,99,10,10
2019,100,0,10
2020,0,450,420
2020,1,500,400
2020,2,470,490
2020,3,510,450
2020,4,530,510
2020,5,540,510
2020,6,500,510
2020,7,550,520
2020,8,570,570
2020,9,550,550
2020,10,540,550
2020,11,540,510
2020,12,510,570
2020,13,520,540
2020,14,500,520
2020,15,510,510
2020,16,530,510
2020,17,550,500
2020,18,480,500
2020,19,550,520
2020,20,510,500
2020,21,590,540
2020,22,570,560
2020,23,610,550
2020,24,610,570
2020,25,590,520
2020,26,610,610
2020,27,590,580
2020,28,650,610
2020,29,600,650
2020,30,680,650
2020,31,630,660
2020,32,690,710
2020,33,730,670
2020,34,660,680
2020,35,730,670
2020,36,770,770
2020,37,760,770
2020,38,790,730
2020,39,760,800
2020,40,790,790
2020,41,780,800
2020,42,730,700
2020,43,770,760
2020,44,730,720
2020,45,750,750
2020,46,750,740
2020,47,760,720
2020,48,740,770
2020,49,830,820
2020,50,830,810
2020,51,820,850
2020,52,920,810
2020,53,840,860
2020,54,840,870
2020,55,870,840
2020,56,860,860
2020,57,820,790
2020,58,780,760
2020,59,740,710
2020,60,720,690
2020,61,630,690
2020,62,670,700
2020,63,620,640
2020,64,600,590
2020,65,530,580
2020,66,550,550
2020,67,520,540
2020,68,460,550
2020,69,500,530
2020,70,490,500
2020,71,460,500
2020,72,470,510
2020,73,490,510
2020,74,430,500
2020,75,330,380
2020,76,370,440
2020,77,310,370
2020,78,250,320
2020,79,250,310
2020,80,280,330
2020,81,290,310
2020,82,240,300
2020,83,220,290
2020,84,210,270
2020,85,180,220
2020,86,150,220
2020,87,140,210
2020,88,100,180
2020,89,90,160
2020,90,80,130
2020,91,50,120
2020,92,50,110
2020,93,30,60
2020,94,30,70
2020,95,30,50
2020,96,10,40
2020,97,10,30
2020,98,10,20
2020,99,0,20
2020,100,0,10
2021,0,470,420
2021,1,450,430
2021,2,490,390
2021,3,470,490
2021,4,530,460
2021,5,530,500
2021,6,530,510
2021,7,500,510
2021,8,540,530
2021,9,580,580
2021,10,550,550
2021,11,530,550
2021,12,530,510
2021,13,510,560
2021,14,510,520
2021,15,500,510
2021,16,500,500
2021,17,530,510
2021,18,540,510
2021,19,490,510
2021,20,540,510
2021,21,500,500
2021,22,570,500
2021,23,560,530
2021,24,610,540
2021,25,600,580
2021,26,590,530
2021,27,620,610
2021,28,600,580
2021,29,650,610
2021,30,600,650
2021,31,700,650
2021,32,640,660
2021,33,680,700
2021,34,740,670
2021,35,680,680
2021,36,740,670
2021,37,770,760
2021,38,760,770
2021,39,790,730
2021,40,770,820
2021,41,800,790
2021,42,790,790
2021,43,740,710
2021,44,770,770
2021,45,730,710
2021,46,750,740
2021,47,750,730
2021,48,750,720
2021,49,750,770
2021,50,830,810
2021,51,820,810
2021,52,800,840
2021,53,910,810
2021,54,830,850
2021,55,830,860
2021,56,860,830
2021,57,850,840
2021,58,810,780
2021,59,770,750
2021,60,720,690
2021,61,700,680
2021,62,620,670
2021,63,660,690
2021,64,600,620
2021,65,590,600
2021,66,530,560
2021,67,530,540
2021,68,510,530
2021,69,450,540
2021,70,490,530
2021,71,480,490
2021,72,450,490
2021,73,460,500
2021,74,480,500
2021,75,420,490
2021,76,320,370
2021,77,360,430
2021,78,300,360
2021,79,250,310
2021,80,240,300
2021,81,270,320
2021,82,270,290
2021,83,230,300
2021,84,200,280
2021,85,190,260
2021,86,160,200
2021,87,140,210
2021,88,120,190
2021,89,90,170
2021,90,80,140
2021,91,70,110
2021,92,40,100
2021,93,40,80
2021,94,20,50
2021,95,20,60
2021,96,20,40
2021,97,0,40
2021,98,10,20
2021,99,10,10
2021,100,0,10
2022,0,470,370
2022,1,470,420
2022,2,450,430
2022,3,490,390
2022,4,470,480
