Age,Male,Female,All
0,459,443,902
1,469,381,850
2,479,482,961
3,500,461,961
4,518,470,988
5,557,532,1089
6,483,496,979
7,558,518,1076
8,548,571,1119
9,586,565,1151
10,543,554,1097
11,542,521,1063
12,526,547,1073
13,532,556,1088
14,495,541,1036
15,545,498,1043
16,540,514,1054
17,551,513,1064
18,494,489,983
19,524,507,1031
20,540,515,1055
21,570,524,1094
22,603,570,1173
23,610,532,1142
24,605,582,1187
25,579,505,1084
26,587,566,1153
27,599,583,1182
28,609,598,1207
29,611,633,1244
30,637,633,1270
31,620,635,1255
32,685,707,1392
33,691,686,1377
34,660,634,1294
35,719,665,1384
36,693,759,1452
37,756,759,1515
38,761,727,1488
39,731,776,1507
40,797,798,1595
41,758,802,1560
42,722,742,1464
43,760,730,1490
44,718,702,1420
45,761,733,1494
46,731,762,1493
47,743,731,1474
48,740,761,1501
49,798,835,1633
50,833,814,1647
51,802,834,1636
52,906,844,1750
53,839,856,1695
54,854,863,1717
55,858,881,1739
56,875,844,1719
57,827,850,1677
58,790,784,1574
59,751,732,1483
60,724,695,1419
61,666,703,1369
62,660,716,1376
63,661,678,1339
64,583,621,1204
65,540,600,1140
66,511,545,1056
67,543,542,1085
68,458,537,995
69,495,523,1018
70,456,485,941
71,458,515,973
72,460,475,935
73,454,522,976
74,451,514,965
75,346,379,725
76,358,425,783
77,305,400,705
78,267,295,562
79,248,310,558
80,269,319,588
81,292,311,603
82,248,308,556
83,220,280,500
84,198,278,476
85,188,234,422
86,157,204,361
87,126,214,340
88,101,174,275
89,86,150,236
90,80,129,209
91,56,108,164
92,48,110,158
93,29,66,95
94,29,66,95
95+,54,187,241
