Parish,Car,Motorbike,Walk,Bus,Cycle,Work from home,Other,All
Grouville                                         ,1670,70,100,150,120,500,20,2620
St. Brelade                                       ,3280,180,390,300,380,920,60,5500
St. Clement                                       ,3040,160,560,370,220,760,20,5130
St. Helier                                        ,8390,470,9610,760,660,2270,100,22270
St. John                                          ,1120,60,70,50,70,280,10,1650
St. Lawrence                                      ,1860,110,160,170,150,520,20,2980
St. Martin                                        ,1370,50,80,100,90,380,10,2080
St. Mary                                          ,640,40,20,20,50,180,,950
St. Ouen,1440,70,80,50,100,420,20,2180
St. Peter                                         ,1660,90,170,110,150,430,20,2620
St. Saviour                                       ,4090,240,1800,210,320,890,30,7580
Trinity                                           ,1140,60,150,40,80,300,10,1770
All Parishes,29690,1590,13200,2310,2390,7840,320,57340
