Sector,Males,Females,All
Agriculture and fishing,735,326,"1,061"
Manufacturing,603,239,842
Construction and quarrying,"6,009",449,"6,458"
Utilities and waste,661,122,783
Wholesale and retail,"3,602","3,200","6,802"
"Hotels, restaurants, and bars","2,100","1,617","3,717"
Transport and storage,"1,495",379,"1,874"
Information and communication,"1,366",474,"1,840"
Financial and legal services,"5,983","7,050","13,033"
Miscellaneous business activities,"3,141","2,318","5,459"
"Education, health, and other services","4,700","10,769","15,469"
All,"30,395","26,943","57,338"
