Parish,Sex,< 5,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80+,All
Grouville,Female,126,164,154,165,124,96,116,172,177,227,223,210,191,190,174,129,214,2852
Grouville,Male,127,145,131,135,147,88,97,154,178,182,238,198,181,149,134,105,160,2549
Grouville,All,253,309,285,300,271,184,213,326,355,409,461,408,372,339,308,234,374,5401
St Brelade,Female,209,268,286,246,252,216,238,350,346,369,468,472,407,326,334,248,521,5556
St Brelade,Male,207,289,293,294,321,236,275,346,344,353,476,438,395,336,291,211,351,5456
St Brelade,All,416,557,579,540,573,452,513,696,690,722,944,910,802,662,625,459,872,11012
St Clement,Female,255,286,291,311,246,254,270,356,368,364,381,432,345,267,247,200,300,5173
St Clement,Male,272,288,287,308,282,221,265,277,332,335,362,390,304,223,241,140,225,4752
St Clement,All,527,574,578,619,528,475,535,633,700,699,743,822,649,490,488,340,525,9925
St Helier,Female,759,847,746,727,1066,1438,1589,1466,1341,1322,1419,1294,1095,838,618,470,775,17810
St Helier,Male,886,807,751,737,1057,1497,1606,1604,1432,1316,1488,1461,1088,780,610,405,487,18012
St Helier,All,1645,1654,1497,1464,2123,2935,3195,3070,2773,2638,2907,2755,2183,1618,1228,875,1262,35822
St John,Female,57,73,91,81,74,67,60,80,120,99,145,133,94,73,89,81,102,1519
St John,Male,77,94,80,94,100,80,60,86,93,122,117,141,111,73,73,54,77,1532
St John,All,134,167,171,175,174,147,120,166,213,221,262,274,205,146,162,135,179,3051
St Lawrence,Female,127,132,176,151,123,125,143,190,194,230,233,221,214,161,171,88,189,2868
St Lawrence,Male,133,144,154,160,142,110,125,170,205,199,227,234,177,155,129,88,141,2693
St Lawrence,All,260,276,330,311,265,235,268,360,399,429,460,455,391,316,300,176,330,5561
St Martin,Female,63,113,113,114,98,72,95,120,126,163,182,168,135,107,116,86,118,1989
St Martin,Male,76,105,112,113,109,76,92,104,142,152,149,183,152,105,100,81,108,1959
St Martin,All,139,218,225,227,207,148,187,224,268,315,331,351,287,212,216,167,226,3948
St Mary,Female,47,43,57,58,44,35,48,49,72,65,86,64,62,50,51,34,51,916
St Mary,Male,36,66,44,43,52,34,49,45,71,74,83,77,55,56,53,27,37,902
St Mary,All,83,109,101,101,96,69,97,94,143,139,169,141,117,106,104,61,88,1818
St Ouen,Female,90,135,119,100,100,87,89,116,159,171,185,183,145,112,134,81,108,2114
St Ouen,Male,84,123,130,107,102,83,101,131,143,156,198,170,152,115,126,79,92,2092
St Ouen,All,174,258,249,207,202,170,190,247,302,327,383,353,297,227,260,160,200,4206
St Peter,Female,110,111,130,120,137,101,140,146,186,173,182,233,183,165,166,144,276,2703
St Peter,Male,106,148,125,120,121,125,148,149,162,182,205,195,176,142,158,112,187,2561
St Peter,All,216,259,255,240,258,226,288,295,348,355,387,428,359,307,324,256,463,5264
St Saviour,Female,320,410,432,365,368,321,432,521,565,507,567,547,443,369,325,198,379,7069
St Saviour,Male,345,422,429,454,406,368,397,474,532,550,550,483,387,337,285,179,237,6835
St Saviour,All,665,832,861,819,774,689,829,995,1097,1057,1117,1030,830,706,610,377,616,13904
Trinity,Female,74,100,124,83,91,73,75,120,120,132,140,134,99,89,86,50,105,1695
Trinity,Male,76,101,102,89,89,67,78,120,121,152,141,131,116,76,79,43,79,1660
Trinity,All,150,201,226,172,180,140,153,240,241,284,281,265,215,165,165,93,184,3355
All,Female,2237,2682,2719,2521,2723,2885,3295,3686,3774,3822,4211,4091,3413,2747,2511,1809,3138,52264
All,Male,2425,2732,2638,2654,2928,2985,3293,3660,3755,3773,4234,4101,3294,2547,2279,1524,2181,51003
All,All,4662,5414,5357,5175,5651,5870,6588,7346,7529,7595,8445,8192,6707,5294,4790,3333,5319,103267
