measure,category,subcategory,value,unit,reference_period,source_locator,notes
household_count,All,,44583,households,2021-03-21,pdf_page_44,"All private households."
household_type,Single adult,,8603,households,2021-03-21,pdf_page_44,"Exact report value."
household_type,Couple (adult),,6884,households,2021-03-21,pdf_page_44,"Exact report value."
household_type,Single parent (with dependent children),,1703,households,2021-03-21,pdf_page_44,"Exact report value."
household_type,Single parent (all children 16 years or more),,1983,households,2021-03-21,pdf_page_44,"Exact report value."
household_type,Couple with dependent children,,7887,households,2021-03-21,pdf_page_44,"Exact report value."
household_type,Couple with children (all children 16 years or more),,3614,households,2021-03-21,pdf_page_44,"Exact report value."
household_type,Couple (one pensioner),,1331,households,2021-03-21,pdf_page_44,"Exact report value."
household_type,Single pensioner,,5463,households,2021-03-21,pdf_page_44,"Exact report value."
household_type,Two or more pensioners,,4135,households,2021-03-21,pdf_page_44,"Exact report value."
household_type,Two or more unrelated persons,,789,households,2021-03-21,pdf_page_44,"Exact report value."
household_type,Other,,2191,households,2021-03-21,pdf_page_44,"Exact report value."
communal_establishments,All,establishments,162,establishments,2021-03-21,pdf_page_46,"Includes vacant establishments."
communal_residents,Care home (with nursing),residents,629,residents,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_establishments,Care home (with nursing),establishments,15,establishments,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_residents,Care home (without nursing),residents,328,residents,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_establishments,Care home (without nursing),establishments,16,establishments,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_residents,Children's home,residents,15,residents,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_establishments,Children's home,establishments,8,establishments,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_residents,Other medical or care establishment,residents,30,residents,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_establishments,Other medical or care establishment,establishments,6,establishments,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_residents,Hotel large guest house B&B campsite youth hostel,residents,565,residents,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_establishments,Hotel large guest house B&B campsite youth hostel,establishments,91,establishments,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_residents,Homeless hostel or temporary shelter,residents,93,residents,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_establishments,Homeless hostel or temporary shelter,establishments,6,establishments,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_residents,Staff communal establishment,residents,272,residents,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_establishments,Staff communal establishment,establishments,19,establishments,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_residents,Detention,residents,147,residents,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
communal_establishments,Detention,establishments,1,establishments,2021-03-21,pdf_page_46,"Visitors staying less than one month excluded."
housing_control,occupied_private_dwellings,,44583,dwellings,2021-03-21,pdf_page_37,"Exact report value."
housing_control,persons_in_private_dwellings,,101188,people,2021-03-21,pdf_page_37,"Exact report value."
housing_control,mean_persons_per_private_dwelling,,2.27,persons_per_dwelling,2021-03-21,pdf_page_37,"Report value."
housing_control,mean_bedrooms_per_private_dwelling,,2.47,bedrooms_per_dwelling,2021-03-21,pdf_page_37,"Report value; retained over conflicting all-row CSV value 2.57 and conflict documented."
housing_control,overcrowded_households,,4.0,percent,2021-03-21,pdf_page_9,"Bedroom Standard measure."
housing_control,under_occupied_households,,26.4,percent,2021-03-21,pdf_page_9,"Bedroom Standard measure."
housing_control,occupied_dwellings_that_are_houses,,55.0,percent,2021-03-21,pdf_page_9,"Rounded report percentage."
housing_control,occupied_dwellings_that_are_flats,,44.0,percent,2021-03-21,pdf_page_9,"Rounded report percentage."
housing_control,households_without_car_or_van,,16.0,percent,2021-03-21,pdf_page_78,"Private households."
housing_control,st_helier_households_without_car_or_van,St Helier,30.0,percent,2021-03-21,pdf_page_78,"Private households."
workplace_destination,workers_working_in,St Helier,66.0,percent,2021-03-21,pdf_page_81,"Excludes home workers, no fixed workplace and workers outside Island."
workplace_destination,workers_working_in,Semi-urban parishes,13.0,percent,2021-03-21,pdf_page_81,"Excludes home workers, no fixed workplace and workers outside Island."
workplace_destination,workers_working_in,Rural parishes,21.0,percent,2021-03-21,pdf_page_81,"Excludes home workers, no fixed workplace and workers outside Island."
workplace_destination,St Helier resident and worker,walk,69.0,percent,2021-03-21,pdf_page_81,"Mode among people who lived and worked in St Helier."
workplace_destination,St Helier resident and worker,car,24.0,percent,2021-03-21,pdf_page_81,"Mode among people who lived and worked in St Helier."
workplace_destination,rural resident working in town,car,75.0,percent,2021-03-21,pdf_page_81,"Mode among rural residents working in town."
workplace_destination,rural resident working in town,cycle,9.0,percent,2021-03-21,pdf_page_81,"Mode among rural residents working in town."
workplace_destination,rural resident working in town,bus,8.0,percent,2021-03-21,pdf_page_81,"Mode among rural residents working in town."
