Date,TestsTotalTests,CasesTotalConfirmedPositiveCases,CasesSeven7DayNumberper100000,MortalityTotalDeaths
2026-07-29,1166055,67399,0.93,
2026-07-23,1166032,67398,0,
2026-07-16,1166016,67398,0.93,
2026-07-10,1165985,67397,0,
2026-07-02,1165950,67397,0,
2026-06-24,1165928,67397,0,
2026-06-17,1165903,67397,0,
2026-06-08,1165877,67397,0,
2026-06-03,1165835,67397,0,
2026-05-28,1165814,67397,0,
2026-05-21,1165780,67397,0,
2026-05-15,1165751,67397,0,
2026-05-07,1165669,67397,0,
2026-04-30,1165669,67397,0,
2026-04-23,1165633,67397,0,
2026-04-15,1165632,67397,0,
2026-04-08,1165625,67397,0,
2026-04-01,1165622,67397,0,
2026-03-25,1165619,67397,0,
2026-03-19,1165617,67397,0,
2026-03-11,1165613,67397,0,
2026-03-05,1165601,67397,0,
2026-02-27,1165597,67397,0.93,
2026-02-18,1165593,67396,0.93,
2026-02-11,1165590,67395,3.71,
2026-02-05,1165573,67391,1.86,
2026-01-29,1165566,67389,0,
2026-01-21,1165554,67389,0,
2026-01-15,1165541,67389,0,
2026-01-08,1165533,67389,0,
2025-12-31,1165523,67389,0,
2025-12-24,1165517,67389,0,
2025-12-18,1165513,67389,0,
2025-12-10,1165499,67389,1.86,
2025-12-04,1165463,67389,2.78,
2025-11-27,1165390,67386,0,
2025-11-19,1165341,67386,1.86,
2025-11-13,1165299,67384,0.93,
2025-11-05,1165255,67383,1.86,
2025-10-29,1165202,67382,0.93,
2025-10-22,1165151,67381,0.93,
2025-10-15,1165105,67380,2.78,
2025-10-08,1165064,67377,0.93,
2025-10-01,1165019,67376,4.64,
2025-09-24,1164981,67371,0.93,
2025-09-17,1164942,67370,2.78,
2025-09-10,1164913,67367,2.78,
2025-09-03,1164891,67364,0.93,
2025-08-27,1164872,67363,0.93,
2025-08-21,1164855,67362,1.86,
2025-08-13,1164849,67360,0.93,
2025-08-08,1164827,67359,0,
2025-07-30,1164797,67359,0.93,
