Year,Government primary,Non-provided primary,Government secondary,Non-provided secondary,Special school,Total
2011,6083,1350,5095,1180,141,13849
2012,6145,1372,5049,1163,125,13854
2013,6182,1358,4996,1163,112,13811
2014,6304,1345,4957,1108,103,13817
2015,6311,1338,4936,1119,105,13809
2016,6404,1378,4867,1106,102,13857
2017,6553,1418,4869,1127,111,14078
2018,6629,1452,4814,1119,119,14133
2019,6605,1453,4844,1149,122,14173
2020,6613,1398,4953,1169,129,14262
2021,6648,1406,4989,1191,134,14368
2022,6563,1396,5027,1187,144,14317
2023,6379,1339,5104,1179,156,14157
2024,6220,1221,5258,1114,178,13991
