table,measure,event_date_definition,geography,population_universe,unit,denominator,suppression_semantics,reporting_regime,known_exclusions,source_locator,reference_period,source_id
covid_daily_surveillance,daily_new_confirmed_cases,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv:Date;CasesDailyNewConfirmedCases;TestsTotalsamplestestedpriorto1July2020;TestsTotalsamplestestedsince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,2020-07-30/2023-02-01,covid19_daily_surveillance_csv
covid_daily_surveillance,cumulative_confirmed_cases,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv:Date;CasesTotalConfirmedPositiveCases;CasesPositiveCasesIdentifiedPriorto1July2020;CasesPositiveCasesIdentifiedSince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,2020-07-30/2023-02-01,covid19_daily_surveillance_csv
covid_daily_surveillance,symptomatic_cases,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv:Date;CasesSymptomatic;CasesPositiveCasesIdentifiedPriorto1July2020;CasesPositiveCasesIdentifiedSince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,2020-07-30/2023-02-01,covid19_daily_surveillance_csv
covid_daily_surveillance,asymptomatic_cases,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv:Date;CasesAsymptomatic;CasesPositiveCasesIdentifiedPriorto1July2020;CasesPositiveCasesIdentifiedSince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,2020-07-30/2023-02-01,covid19_daily_surveillance_csv
covid_daily_surveillance,current_known_active_cases,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv:Date;CasesCurrentKnownActiveCases;TestsTotalsamplestestedpriorto1July2020;TestsTotalsamplestestedsince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,2020-07-30/2023-02-01,covid19_daily_surveillance_csv
covid_daily_surveillance,seven_day_rate_per_100k,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,per_100000,unknown,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv:Date;CasesSeven7DayNumberper100000; data/sources.yaml:covid19_daily_surveillance_csv.title,2020-07-30/2023-02-01,covid19_daily_surveillance_csv
covid_daily_surveillance,cumulative_tests,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,tests,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv:Date;TestsTotaltests;TestsTotalsamplestestedpriorto1July2020;TestsTotalsamplestestedsince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,2020-07-30/2023-02-01,covid19_daily_surveillance_csv
covid_daily_surveillance,tests_reason_symptomatic,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,tests,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv:Date;TestsReasonfortestseekinghealthcaresymptomatic;TestsTotalsamplestestedpriorto1July2020;TestsTotalsamplestestedsince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,2020-07-30/2023-02-01,covid19_daily_surveillance_csv
covid_daily_surveillance,tests_reason_inbound_travel,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,tests,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv:Date;TestsReasonforTestInboundTravel;TestsTotalsamplestestedpriorto1July2020;TestsTotalsamplestestedsince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,2020-07-30/2023-02-01,covid19_daily_surveillance_csv
covid_daily_surveillance,tests_reason_on_island_screening,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,tests,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv:Date;TestsReasonforTestOnIslandSurveillanceScreening;TestsTotalsamplestestedpriorto1July2020;TestsTotalsamplestestedsince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,2020-07-30/2023-02-01,covid19_daily_surveillance_csv
covid_daily_surveillance,cumulative_deaths,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,deaths,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv:Date;MortalityTotalDeaths;...priorto1July2020;...since1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,2020-07-30/2023-02-01,covid19_daily_surveillance_csv
covid_current_summary,cumulative_tests,unknown,"Jersey (registry title: ""Coronavirus (COVID-19) data for Jersey (current summary list)"")",unknown,tests,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown (row density by year is visible in the frozen file but the file states no regime),undated cumulative row excluded and recorded as a warning,covid19_current_summary_csv:Date;TestsTotalTests; data/sources.yaml:covid19_current_summary_csv.title,2020-07-30/2026-07-29,covid19_current_summary_csv
covid_current_summary,cumulative_confirmed_cases,unknown,"Jersey (registry title: ""Coronavirus (COVID-19) data for Jersey (current summary list)"")",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown (row density by year is visible in the frozen file but the file states no regime),undated cumulative row excluded and recorded as a warning,covid19_current_summary_csv:Date;CasesTotalConfirmedPositiveCases; data/sources.yaml:covid19_current_summary_csv.title,2020-07-30/2026-07-29,covid19_current_summary_csv
covid_current_summary,seven_day_rate_per_100k,unknown,"Jersey (registry title: ""Coronavirus (COVID-19) data for Jersey (current summary list)"")",unknown,per_100000,unknown,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown (row density by year is visible in the frozen file but the file states no regime),undated cumulative row excluded and recorded as a warning,covid19_current_summary_csv:Date;CasesSeven7DayNumberper100000; data/sources.yaml:covid19_current_summary_csv.title,2020-07-30/2026-07-29,covid19_current_summary_csv
covid_current_summary,cumulative_deaths,unknown,"Jersey (registry title: ""Coronavirus (COVID-19) data for Jersey (current summary list)"")",unknown,deaths,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown (row density by year is visible in the frozen file but the file states no regime),undated cumulative row excluded and recorded as a warning,covid19_current_summary_csv:Date;MortalityTotalDeaths; data/sources.yaml:covid19_current_summary_csv.title,2020-07-30/2026-07-29,covid19_current_summary_csv
covid_jhu_daily,cumulative_confirmed_cases,unknown (JHU README describes daily-report aggregation but is not a frozen source),"Jersey row (Province/State == ""Jersey"", Country/Region == ""United Kingdom"") of a global file",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown (the frozen CSV states no regime; the series ends 2023-03-09 per its last column header),unknown,jhu_csse_confirmed_global_csv:Province/State;Country/Region; data/sources.yaml:jhu_csse_confirmed_global_csv.title,2020-01-22/2023-03-09,jhu_csse_confirmed_global_csv
covid_jhu_daily,cumulative_deaths,unknown (JHU README describes daily-report aggregation but is not a frozen source),"Jersey row (Province/State == ""Jersey"", Country/Region == ""United Kingdom"") of a global file",unknown,deaths,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown (the frozen CSV states no regime; the series ends 2023-03-09 per its last column header),unknown,jhu_csse_deaths_global_csv:Province/State;Country/Region; data/sources.yaml:jhu_csse_deaths_global_csv.title,2020-01-22/2023-03-09,jhu_csse_deaths_global_csv
covid_jhu_daily,daily_new_confirmed_cases,unknown (JHU README describes daily-report aggregation but is not a frozen source),"Jersey row (Province/State == ""Jersey"", Country/Region == ""United Kingdom"") of a global file",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown (the frozen CSV states no regime; the series ends 2023-03-09 per its last column header),unknown,jhu_csse_confirmed_global_csv:Province/State;Country/Region; data/sources.yaml:jhu_csse_confirmed_global_csv.title,2020-01-22/2023-03-09,jhu_csse_confirmed_global_csv
covid_serosurvey_2020,estimated_population_prevalence_percent,fieldwork 2020-04-29/2020-05-05 (registry reference_period of sars_cov2_serosurvey_2020_pdf),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")","adults 16+ in private households, care homes excluded",percent,"individuals tested (855), weighted, and adjusted for assumed test sensitivity (PDF page 7: ""The observed prevalence is adjusted for the sensitivity of the test kits"")",blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,care homes excluded,sars_cov2_serosurvey_2020_pdf:PDF page 1; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,2020-04-29/2020-05-05,sars_cov2_serosurvey_2020_pdf
covid_serosurvey_2020,estimated_population_prevalence_ci95_half_width_percent,fieldwork 2020-04-29/2020-05-05 (registry reference_period of sars_cov2_serosurvey_2020_pdf),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")","adults 16+ in private households, care homes excluded",percent,"individuals tested (855), weighted, and adjusted for assumed test sensitivity (PDF page 7: ""The observed prevalence is adjusted for the sensitivity of the test kits"")",blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,care homes excluded,sars_cov2_serosurvey_2020_pdf:PDF page 1; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,2020-04-29/2020-05-05,sars_cov2_serosurvey_2020_pdf
covid_serosurvey_2020,observed_unweighted_prevalence_percent,fieldwork 2020-04-29/2020-05-05 (registry reference_period of sars_cov2_serosurvey_2020_pdf),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")","adults 16+ in private households, care homes excluded",percent,"individuals tested (855), unweighted (PDF page 6: ""Prior to weighting the observed prevalence rate was 2.9%"")",blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,care homes excluded,sars_cov2_serosurvey_2020_pdf:PDF page 6; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,2020-04-29/2020-05-05,sars_cov2_serosurvey_2020_pdf
covid_serosurvey_2020,weighted_unadjusted_prevalence_percent,fieldwork 2020-04-29/2020-05-05 (registry reference_period of sars_cov2_serosurvey_2020_pdf),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")","adults 16+ in private households, care homes excluded",percent,"individuals tested (855), weighted at household and individual level, not sensitivity-adjusted (PDF page 6: ""after weighting it was 2.6%"")",blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,care homes excluded,sars_cov2_serosurvey_2020_pdf:PDF page 6; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,2020-04-29/2020-05-05,sars_cov2_serosurvey_2020_pdf
covid_serosurvey_2020,households_tested,fieldwork 2020-04-29/2020-05-05 (registry reference_period of sars_cov2_serosurvey_2020_pdf),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")",adults 16+ in private households; care homes excluded (PDF pages 1 and 2),households,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,care homes excluded,sars_cov2_serosurvey_2020_pdf:PDF page 2; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,2020-04-29/2020-05-05,sars_cov2_serosurvey_2020_pdf
covid_serosurvey_2020,individuals_tested,fieldwork 2020-04-29/2020-05-05 (registry reference_period of sars_cov2_serosurvey_2020_pdf),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")",adults 16+ in private households; care homes excluded (PDF pages 1 and 2),individuals,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,care homes excluded,sars_cov2_serosurvey_2020_pdf:PDF page 2; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,2020-04-29/2020-05-05,sars_cov2_serosurvey_2020_pdf
