Year,Sea arrivals,Air arrivals,Total arrivals
1972,288000,663000,951000
1973,346000,727000,1073000
1974,389000,723000,1112000
1975,420000,721000,1141000
1976,495000,699000,1195000
1977,540000,708000,1248000
1978,607000,712000,1320000
1979,687000,741000,1428000
1980,650000,690000,1341000
1981,568000,630000,1198000
1982,547000,674000,1221000
1983,531000,691000,1221000
1984,531000,715000,1246000
1985,432000,792000,1223000
1986,454000,784000,1236000
1987,419000,876000,1294000
1988,446000,938000,1384000
1989,523000,945000,1467000
1990,555000,952000,1507000
1991,543000,838000,1381000
1992,517000,813000,1330000
1993,553000,802000,1354000
1994,473000,834000,1307000
1995,458000,826000,1285000
1996,468000,839000,1307000
1997,471000,850000,1321000
1998,448000,854000,1302000
1999,451000,838000,1289000
2000,429000,821000,1251000
2001,450000,768000,1218000
2002,460000,735000,1195000
2003,436000,737000,1173000
2004,405000,749000,1154000
2005,427000,742000,1169000
2006,366000,749000,1115000
2007,384000,782000,1165000
2008,360000,800000,1161000
2009,366000,734000,1100000
2010,378000,720000,1098000
2011,393000,736000,1129000
2012,362000,726000,1088000
2013,372000,719000,1091000
2014,393000,741000,1134000
2015,387000,771000,1158000
2016,349000,795000,1144000
2017,346000,807000,1154000
2018,337000,832000,1169000
2019,323000,857000,1179000
2020,40000,210000,250000
2021,71000,334000,405000
2022,185000,660000,845000
2023,236107,730100,966207
2024,268705,731757,1000462
2025,196623,720842,917465
