lane,lane_rank,id,title,category,code_path,current_behavior,change,expected_gain,risk_scientific,risk_reproducibility,effort,confidence,confirm_or_kill,gates,novelty
CROSS,1,CROSS-1,"The performance target's evidence base is not the production configuration, and the 7.5 min projection is a two-point fit",reproducibility,"docs/runs/2026-09-03-r7-chain-hash-gate.json (wall7_s=62.1, wall30_s=114.0); docs/runs/2026-09-02-r6-mem-profile-desktop.json (146.28/504.65); configs/diseases/respiratory_seirs_demo.yaml (immunity_waning_enabled 0.0); docs/research/v1_1/R6_PERFORMANCE_PROFILE.md 'Benchmark protocol' step 2","The 2.26 s/day marginal and the 46 s fixed component are fitted from exactly two wall-clock samples (7 d and 30 d) of one seed, taken over the epidemic's steepest phase, with no intervention manager attached and no travel layer; R6's own protocol requires 7/14/30-day runs and interleaved repeats reporting median plus range. Separately the frozen V1 pilot cited as the production anchor reports 294,565 episodes across 99,041 unique residents (2.97 episodes per affected resident) and recurrent waves, which is impossible under respiratory_seirs_demo.yaml's immunity_waning_enabled=0.0 and matches the 30-day-reset waning comparator instead; the pilot's affected fraction 0.9474 also sits 17 percentage points outside P4's 0.7758-0.7812 band for the same nominal config.","Publish a three-parameter cost model (fixed init + per-simulated-day route cost + per-event cost) fitted on 7/14/30/60-day runs with per-phase timers, and re-state which disease configuration every historical number was produced under. Treat the 2.26 s/day slope as an early-epidemic value until a 120-180 day marginal slope is measured.","No runtime gain. Removes the basis for mis-ranking: the same two samples give marginal 15.58 s/day pre-R7 and 2.257 s/day post-R7, and the fixed component moves 37.2 -> 46.3 s, which is physically implausible for an unchanged init path and shows the fit is inside sample noise. Every downstream projection (7.5 min replicate, 1-1.5 h ensemble, worker bound, memory bound) inherits it.",low,high,low,high,"Run 7/14/30/60-day full-mode replicates of one seed with per-phase timers, plus one full 180-day replicate, and compare the measured 180-day wall against 452 s. Report the days 120-180 marginal slope separately from the days 8-30 slope. Kill the concern if the two slopes agree within 15%.",randomness+identity (re-derive one committed hash under each named config to settle which config the pilot used); memory (RSS at 7/14/30/60/120/180),New. R6 warned against exactly this extrapolation; the chain gate then performed it with two points.
CROSS,2,CROSS-2,"Post-R7 Amdahl inversion: ~1/3 of ensemble wall time is now non-marginal overhead, so R7's ranking of the remaining work is upside down",architecture,"docs/runs/2026-09-03-r7-chain-hash-gate.json (build_s=637.5); docs/runs/2026-09-02-r6-mem-profile-desktop.json (worker_equiv_regen_m4_seed102=58.98 s, parent_build=896.4 s); src/jersey_outbreak/ensemble.py:641-651; src/jersey_outbreak/cli.py:155-190","Using the project's own measured numbers, a 44-replicate ensemble at 7 workers is 637.5 s serial parent build + 7 waves x (59 s M4 regen + 452 s replicate) = 4218 s. Of that, 15.1% is parent build, 9.8% is per-worker M4 regeneration and 7.7% is the per-replicate fixed init component: 32.6% non-marginal. Pre-R7 the same three terms were ~8% of a 10.6 h ensemble. R7 therefore correctly ranked parent reuse third, the pool initializer fourth and Sim.init fifth ('eliminating it entirely would improve a 48-minute replicate by only 1.3%') - at 452 s per replicate that same fixed component is 10.2%. Both load-bearing overhead numbers are also stale: the ~59 s M4 regen is the 2026-09-02 pre-optimization measurement carried forward unchanged although route generation became 5.11x faster, and build_s fell 896.4 -> 637.5 s with no recorded cause, which is only consistent with the M4 share of the parent build being far larger than 59 s.","Re-rank the remaining programme around the overhead block: decompose build_s into M2/M3/M4 on the production host, re-measure M4 regeneration post-R7, then implement verified M2/M3 parent reuse, the pool initializer, the diagnostics switch (ROUTE-11) and the M2/M3 generator fixes (DATA-1, DATA-2) before further kernel micro-optimization.","Arithmetic on the measured numbers: removing the serial parent build saves 637.5 s = 15.1% of ensemble wall; halving per-worker M4 regeneration saves 4.9%; a 10 s reduction in per-replicate fixed init saves 1.7%. Kernel work now has a ceiling of 67.4% of ensemble wall, and each further 10% of marginal-day cost buys only 6.7% of the ensemble. PROJECTION: rests on the 452 s replicate figure, which CROSS-1 shows is itself a two-point fit.",low,medium,medium,high,"Instrument the ensemble to report parent build, per-worker M4 regen, per-replicate init, marginal sim, post-processing and artifact write as six separate totals for one real 44-replicate run. Kill the re-ranking if non-marginal overhead is under 15% of measured wall.","network (M4 logical hash identical under reuse); randomness+identity (cross-process identity of reused parents); ensemble (identical seed ordering, quantiles, hashes at 1/4/N workers)","Extends R6 and R7 by re-deriving their own Amdahl model from the post-R7 measurements. Contradicts R7's ranking of items 3, 4 and 5 and its dismissal of Sim.init at 1.3%."
CROSS,3,CROSS-3,"The immutable P4 comparator states 180 dated points ending 2025-07-08, but that is grid point 184 - it reports 180 simulated points on a 184-date grid",scientific,"docs/runs/2026-09-03-p4-full-scale-ensemble-report.md (horizon line and headline table); src/jersey_outbreak/observation.py:131-145 (derived tail); configs/observation/observation_demo.yaml (analysis_horizon_tail_days null, detection_delay [0], reporting_delay [2]); docs/architecture.md C5 rule (final date = start + duration_days - 1)","C5 fixes the final dated output point at start + duration_days - 1, i.e. 2025-01-06 + 179 = 2025-07-04 for 180 points. The P4 report states '180 dated points (2025-01-06 -> 2025-07-08)' and quotes 'Final ever-infected fraction (2025-07-08)' and 'Final cumulative infections' against that date. 2025-07-08 is point 184. The 4-day difference is exactly observation.py's derived analysis-horizon tail for the demo config (natural-history tail 2 from the constant 2.0-day latent duration + detection delay max 0 + reporting delay max 2), so the report has quoted the last date of the ensemble's observation grid as if it were the last simulated day. Per DISEASE-4 those four tail dates are also where latent incidence metrics are credited with fabricated structural zeros.","Correct the comparator's horizon statement to '180 simulated dated points (2025-01-06 to 2025-07-04), summarised on a 184-date observation grid to 2025-07-08', and quote every latent headline value at its own last simulated date. Re-state whether the peak dates (2025-02-03 = point 29) and the final fractions were read from the simulated series or from a carried-forward grid cell.","No runtime gain. The artifact is declared an immutable comparator against which future model changes will be judged as signal rather than seed noise; a four-day horizon mis-statement in its own headline table undermines that role. The cumulative metric is carried forward so the value is probably right, but nothing in the report says so.",low,low,low,high,"Read ensemble_summary.parquet from the frozen P4 directory and report, for the four dates 2025-07-05..08, the cell_semantic of every latent metric and whether ever-infected changes across them. If the latent metrics are carried_forward the numbers stand and only the wording is wrong; if any are structural_zero the headline is quoted on a fabricated cell.",ensemble (cell semantics of the four tail dates); reproducibility (the frozen artifact is not modified; the correction is a report erratum),New. Independently corroborates DISEASE-4 from the other direction: the same 4-day tail that fabricates incidence zeros is the source of the mis-stated horizon.
CROSS,4,CROSS-4,"The bundle cannot support the CI claims made about it: no workflow files, and the one relocation gate covers a single artifact family",engineering,"scripts/ci_relocation_check.py:12-41 (m7_intervention, --mode ci only); bundle contains no .github or other CI definition; pyproject.toml has no mypy configuration section","The audit brief lists 'CI's pinned mypy module list omits respiratory.py' as a known open lead, and the prior audit's M03 concerns CI not durably encoding the release gate. Neither is auditable from this bundle: there are no workflow files and pyproject.toml carries no [tool.mypy] section, so the pinned module list does not exist in the material provided. The only committed gate script is ci_relocation_check.py, which exercises the portable-artifact contract for exactly one artifact type (m7_intervention) at ci scale; the other nine families that write manifests are not relocation-tested by it, and per PROV-6 verification_archive is outside the contract entirely.","Ship the CI definition inside any bundle presented for audit, and parametrise the relocation check across every artifact family that writes a manifest (m2, m3, m4, m5, m6 observation, m6 ensemble, m6 comparison, m7, m8, calibration, verification archive).",No runtime gain. Two of the brief's own open leads and one prior-audit finding are unverifiable as bundled; the relocation gate that closed B01 covers 1 of 10+ writers.,low,low,low,high,Enumerate the artifact families that write a manifest and run the relocation check against each. Any family that fails is a live B01 recurrence.,reproducibility (copied-then-original-removed verification for every family),New.
ROUTE,1,ROUTE-1,"Hoist the invariant prefix of every hot _stable_int key into precomputed bytes (byte-identical, 1.96-2.10x on the hash step)",performance,"src/jersey_outbreak/network_generator.py:150-152 (_stable_int); hot callers at :1581-1588 and :1614-1621 (community-age-target / community-age-choice), :1681-1686 (community participation), :156 (_ordered_ids), :321 (_grouped_ring_edges per-date ordering), :360-365 (school staff start offsets)","_stable_int builds its message with '|'.join(str(part) for part in (seed, *parts)).encode('utf-8') on every call: a generator, one str() per part, a join and an encode, then SHA-256 over ~55-60 bytes. In the hot callers 4 of the 6 parts (seed, namespace literal, route_id, date/week token) are invariant across the entire per-day loop and are re-stringified and re-joined for every agent and every contact index. Committed baseline call counts: 40,719,667 over 30 days; post-Stage-1b the surviving load is ~480k/day, dominated by community_indoor 223k/day and community_outdoor 173k/day (baseline JSON per_route totals / 30).","Add a private helper that takes precomputed prefix bytes and appends only the varying suffix, e.g. prefix = f'{seed}|community-age-target|{route_id}|{token}|'.encode('utf-8') hoisted out of the parish/band loops, then payload = prefix + agent_id.encode('utf-8') + b'|' + index_bytes. The byte sequence must be identical to the current join, so the digest and therefore every draw is unchanged. Equivalent alternative: hashlib.sha256(prefix).copy() per call. Keep _stable_int itself as the reference implementation and add a test asserting the fast path equals it over a large keyspace including non-ASCII, embedded '|', None and bool parts.","Sandbox-measured (Apple silicon, darwin, NOT the production Ryzen 7 5800X): current _stable_int 1.151 us/call; prefix-concat 0.587 us/call (1.96x); hashlib prefix .copy() 0.547 us/call (2.10x). Byte-identity verified against 100 live keys (prefix form) and 50 (copy form). Arithmetic: 480k calls/day x (1.151-0.587) us = 271 ms/day, i.e. ~12% of the measured 2.26 s/simulated-day, or ~1.13x on the whole replicate; 180-day projection 7.5 min -> ~6.7 min. PROJECTION: the per-call rate is sandbox hardware. If the Ryzen rate is within +/-50%, the saving is 0.14-0.41 s/day. Route-generation share only: 271 ms of the ~1.58 s/day implied by 8.07 s/day baseline / 5.11x, i.e. ~1.2x on the route phase alone.",low,low,medium,high,"Kill/confirm in two steps and do not conflate them. (1) Keyspace equality: generate >=10^6 real keys by instrumenting one full-scale 30-day route pass, assert fast_path(key) == _stable_int(key) for every one, in two separate processes. (2) Wall time: re-run scripts/bench_dynamic_routes.py --mode full --seed 101 --days 30 with the counting wrapper DISABLED (see finding 2) and compare per-route wall to an equally uninstrumented run of current main. Kill if any key differs, or if aggregate dynamic-route wall improves by less than 10%.","Network gate (complete ordered edge sequence, per-route snapshot hashes, M4 logical hash); Randomness and identity gate (seed namespaces, key inputs, cross-process identity); Disease and attribution gate on frozen 7/14/30-day runs; Memory and growth gate (prefix caches must be per-call-site locals, not retained maps)","Extends the R7 consult's own open question 'Can _stable_int be batched byte-identically?', which concluded prefix-state copying 'can be exact' but deferred it behind call-count reduction and was not implemented (network_generator.py:150-152 is unchanged at df41196). New here: the measured factor, the finding that the simpler prefix-concat form gets almost all of it, and the arithmetic showing that after Stage-1b the surviving 480k calls/day are ~25% of the whole simulated day."
ROUTE,2,ROUTE-2,"The benchmark harness does not gate what the Stage-1 acceptance list claims: 7 of 11 routes, no Starsim array boundary, and a compare that is blind to a vanished route",reproducibility,"scripts/bench_dynamic_routes.py:120 (route_ids = sorted(generated._dynamic_builders)), :47-79 (_measure monkeypatching network_generator._stable_int), :143-149 (_snapshot_index / _compare over set(first)|set(second)), :28-33 (_fingerprint); tests/test_bench_dynamic_routes.py:36-54","The harness fingerprints only sorted(generated._dynamic_builders) -- 7 routes. household, school_class, care_resident and care_staff are never fingerprinted at any date, although school_class has active_calendar 'weekday_term' and is therefore daily-replaced in Starsim (starsim_adapter.py:168-176) and all four static routes share _canonical_edge / _complete_group / _deduplicate_edges with the dynamic path. _compare builds its key set as set(first)|set(second), so a route absent from BOTH files produces no mismatch and the tool still prints 'fingerprints identical' -- precisely the failure mode of an optimization that reclassifies a route as static or precomputed. The harness clears _snapshot_cache before every date and iterates route-major, so the production date-major LRU pattern and its eviction path are never exercised. It fingerprints edge dicts only, never the Starsim p1/p2/beta/dur arrays that the R6 Network gate explicitly requires, and never the 'base M4 remains immutable' clause. tests/test_bench_dynamic_routes.py runs 2 days in ci mode and compares a run against another run of the SAME code, so no committed test pins route fingerprints to expected values; the committed 30-day full baseline is a manual instrument. The 30-day window 2025-01-06..2025-02-04 contains no school half-term holiday (the first is 2025-02-17) and no term-boundary transition.","(a) Iterate every route in sorted(generated.route_specs), not only _dynamic_builders. (b) Make _compare fail when the route sets differ from a declared expected route list, and record that list in the JSON meta. (c) Add a second fingerprint per (route, date) taken from _edge_arrays output (p1/p2/beta dtype, shape and bytes, plus dur) so the adapter boundary is inside the gate. (d) Add a date-major mode that does not clear the cache, so LRU eviction is exercised, and record final len(_snapshot_cache). (e) Move the call counter inside _stable_int behind a module flag instead of monkeypatching, so wall time is measured uninstrumented. (f) Extend the standard gate window to include 2025-02-14..2025-02-25 (term -> half-term -> term) and 2025-08-11, and add a small committed CI fingerprint fixture in ci mode so a semantic regression fails CI rather than waiting for a manual full-scale compare.","No runtime gain; this is gate integrity. Quantified exposure: 4 of 11 routes and 100% of the Starsim array boundary are currently outside the fingerprint gate, and one of the two calendar branches of _is_school_term (the holiday branch) is exercised only by tests/test_c2_network_semantics.py:68-71 as an emptiness assertion in ci mode. Measurement bias on the instrument itself: the counting wrapper costs +14.7% per _stable_int call (sandbox: 1.320 vs 1.151 us), so with 40.7M calls the committed 242.06 s baseline contains ~6.9 s of pure instrumentation, and any change that removes hash calls is credited at 1.320 us/call while production only saves 1.151 us/call -- the reported Stage-1b factor is biased upward on its hash-attributable component. PROJECTION for the bias magnitude; the 14.7% per-call figure is sandbox-measured.",low,low,low,high,"Confirm the blind spots directly: (1) delete one route from _dynamic_builders in a scratch branch, run the harness twice and --compare -- it must currently exit 0; (2) perturb only persistence_days on school_class and confirm the harness still reports identical (it does not read static routes); (3) re-run the committed full/seed101/30d benchmark with the wrapper disabled and report the delta in totals.wall_s against 242.06 s. Kill (b)-(f) only if the delta in (3) is under 1% and (1) and (2) both fail to reproduce.",Network gate (this finding is the instrument for it); Randomness and identity gate (cross-process repeat of the fingerprint run),"New. The R7 consult specified the Stage-1 gate as 'All 11 routes for every one of the 180 exercised dates' plus 'exact Starsim p1, p2, beta, dur dtype, shape, order and bytes'; the shipped harness covers 7 routes x 30 dates and no Starsim arrays. This contradicts the implicit claim in docs/runs/2026-09-03-r7-chain-hash-gate.json that the chain was gated on byte-identical full-scale output -- that gate is the M4/latent/outcome/observation hashes plus a 7-route fingerprint set, which is strong but not the declared set."
ROUTE,3,ROUTE-3,Replace the community regular+daily re-deduplication with an ordered merge of two already-sorted lists,performance,"src/jersey_outbreak/network_generator.py:1704-1709 (_deduplicate_edges([*regular_edges, *daily_edges])); :262-269 (_deduplicate_edges, note the sorted(unique) at :269); regular_edges built once at :1655-1660, daily_edges at :1703","regular_edges is computed once per route at builder-construction time and is already canonical (sorted, deduplicated). daily_edges comes out of mixed_edges, which ends in its own _deduplicate_edges and is also already canonical. build() then concatenates both and calls _deduplicate_edges again, which rebuilds a dict of ~200k keys and re-sorts all of them every single day, for both community routes. The two inputs share the same route weight, so the tie rule 'strictly greater weight replaces' means the regular edge always wins a shared pair and keeps its persistence_days.","A linear two-pointer merge over the two sorted lists that emits the smaller (p1,p2) key and, on equal keys, emits b if b['weight'] > a['weight'] else a. This reproduces _deduplicate_edges' output exactly, including the first-wins-on-tie rule and the retained persistence_days, because both inputs are individually duplicate-free and sorted on the same key.","Sandbox-measured at community_indoor scale (120k regular + 80k daily = 200k edges, the baseline's peak is 205,326): _deduplicate_edges 264.1 ms vs ordered merge 158.3 ms = 1.67x, 106 ms saved per day. Scaling by edge count for community_outdoor (peak 102,043) gives ~51 ms/day. Total ~157 ms/day = ~7% of 2.26 s/day. Output equality verified on three overlap fixtures (20,000 shared keys with daily weight equal, higher and lower than regular). PROJECTION: sandbox hardware; the residual 158 ms is itself almost entirely the cost of building a 200k-element list of dict pointers, so finding 5 subsumes most of what is left.",low,low,low,high,"Property test: for randomly generated pairs of canonical edge lists with forced key overlap and all three weight relations, assert merge(a,b) == _deduplicate_edges([*a,*b]) elementwise including persistence_days. Then the 30-day full-scale fingerprint compare. Kill if any fingerprint differs or if community_indoor per-day wall does not improve by at least 50 ms.",Network gate (complete ordered edge sequence for community_indoor and community_outdoor at every date); Disease and attribution gate on frozen 7/14/30-day runs; Memory and growth gate (the merge must not retain a third copy of the edge list),"Extends R7 candidate 1's last bullet ('If profiling justifies it, replace the final regular-plus-daily re-deduplication with an exact ordered merge'), which was explicitly left conditional and is not implemented at df41196. New here: the measured 1.67x at production scale, the proof that the tie rule is preserved, and the observation that the remaining 158 ms is representation cost rather than algorithmic cost."
ROUTE,4,ROUTE-4,"workplace_team's daily snapshot is provably a function of weekday only; shared_vehicle of (weekday, 4-week token); bus is NOT reducible -- key the snapshot cache per route",architecture,"src/jersey_outbreak/network_generator.py:1272-1295 (build_workplace_team), :1452-1485 (build_shared_vehicle, week//4 token at :1473), :1497-1530 (build_bus, ISO week token at :1518), :129-147 (route_snapshot cache keyed on (route_id, snapshot_date))","build_workplace_team gates on weekday, filters each team by _job_is_physical_on_date -- which after Stage-1b reduces to 'snapshot_date.weekday() in cached_frozenset' (:458) -- and then calls _complete_group(group, 0.7, 1) and _deduplicate_edges. No expression in that path reads anything about the date except weekday(), so the returned edge list is a pure function of weekday. It is nevertheless recomputed from scratch on every one of ~129 weekdays in a 180-day horizon, and the (route_id, date) cache key cannot express the reuse. build_shared_vehicle is a pure function of (weekday, isocalendar().week // 4). build_bus is a function of (weekday, isocalendar().week), whose cardinality over 180 days is ~5 x 26 = 130, i.e. essentially the number of weekdays -- there is nothing to reuse.","Give each route an optional semantic snapshot key, e.g. a per-route callable key(date) defaulting to the date itself: workplace_team -> date.weekday(); shared_vehicle -> (date.weekday(), date.isocalendar().week // 4); everything else -> date. route_snapshot keys the LRU on (route_id, key(date)) and sizes that route's budget to the key cardinality when it is finite and small (<=8), otherwise SNAPSHOT_CACHE_PER_ROUTE. The returned RouteSnapshot must still carry the requested snapshot_date, so construct the dataclass per request from the cached edge tuple rather than caching the dataclass itself. Do NOT do this for bus, school_cross_class, workplace_transient or the community routes.","Sandbox-measured rebuild of a workplace_team-scale snapshot (148,050 edges from 9,870 six-member teams, matching the baseline peak of 148,007): 114 ms. Memoized to 5 weekday states, ~129 of 180 days become hits: saving ~114 ms on each weekday after the first occurrence, ~81 ms/day averaged over the horizon = ~3.6% of 2.26 s/day. shared_vehicle: 1.95 s/30 days baseline = 65 ms/day, key cardinality 5 x 7 = 35 vs 129 weekday computations, saving ~48 ms/day. Combined ~129 ms/day (~5.7%). PROJECTION; sandbox hardware. Memory cost is the reason to sequence this after finding 5: 5 retained workplace_team snapshots in the current dict representation is ~35 MB (measured 236 B/edge x 148k x 5), against a measured 200 MB growth per 30 days; in columnar form the same 5 states cost ~2.4 MB.",low,medium,medium,high,"First prove purity mechanically rather than by reading: for one full-scale M4, call the raw builder for all 180 dates and assert that the edge tuple is equal for all dates sharing a weekday (workplace_team) and for all dates sharing (weekday, week//4) (shared_vehicle), and that bus does NOT satisfy its analogous grouping beyond coincidence. Then run the 30-day fingerprint compare plus a horizon that crosses an ISO-week and a 4-week boundary. Record final len(_snapshot_cache) and retained bytes at 7/14/30 days. Kill if any equality class fails, if the fingerprints differ, or if retained snapshot bytes rise by more than a declared budget.","Network gate (all routes, all dates, plus the explicit ISO-week and 4-week boundary cases); Memory and growth gate (retained snapshot count and bytes at 7/14/30 days must stay bounded by the declared period, not the horizon); Randomness and identity gate; Intervention and lifecycle gate (interventions.py:965 reads route_snapshot for the same dates)","Extends R7 candidate 1's 'cache only route states with a proven smaller semantic key', not implemented at df41196. It also CONTRADICTS that bullet in part: R7 lists bus alongside workplace_team and shared_vehicle as having a smaller key, but (weekday, ISO week) has approximately one state per weekday over any realistic horizon, so a bus memo buys nothing and would only add retained memory."
ROUTE,5,ROUTE-5,"Materialize route edges columnar: _edge_arrays is now ~12% of the simulated day, not the 2.7 profiled seconds R7 used to deprioritize it, and the dict representation is what makes M4 immutability unenforceable",architecture,"src/jersey_outbreak/starsim_adapter.py:79-89 (_edge_arrays), :101-110 (_replace_edges, dur = np.ones at :109), :168-176 (needs_daily_update / provider); src/jersey_outbreak/network_generator.py:85 (edges: tuple[dict[str, Any], ...]), :140 (static-route snapshot aliases the structural_edges dicts), :248-259 (_canonical_edge)","Every route snapshot is a tuple of 4-key dicts. _edge_arrays then runs three Python comprehensions per route per day -- two with a dict lookup per endpoint into uid_by_agent_id -- to produce the arrays Starsim needs, and _replace_edges discards persistence_days entirely by setting dur = np.ones(len(edges)). Calendar-gated static routes are treated as dynamic (needs_daily_update is true whenever active_calendar != 'always'), so school_class's unchanging structural edge set is re-converted to arrays on every term weekday even though route_snapshot returns the identical cached RouteSnapshot object. Separately, for static routes route_snapshot returns list(self.structural_edges[route_id]) -- a new list of the SAME dict objects -- so every consumer holds aliases of the M4 structural edge payloads; RouteSnapshot being a frozen dataclass protects the tuple, not the dicts inside it, and travel.py:1975-1983 re-aliases them into the travel view.","Make the canonical daily route state columnar inside the kernel: three parallel arrays (p1/p2 as agent-index int32 or int64, weight float64) plus the per-route constant persistence_days, with the dict form materialized only at the two boundaries that genuinely need it -- canonical_json_bytes for the M4 logical hash and the Parquet writers. Builders emit sorted index pairs directly; _deduplicate_edges becomes a lexsort plus a unique-with-max reduction; _edge_arrays becomes a slice or a no-op. Additionally, and independently of the columnar work, memoize the converted arrays for calendar-gated static routes keyed on the RouteSnapshot identity so school_class is converted once per active/inactive state rather than daily.","Sandbox-measured: _edge_arrays costs 65.9 ms per 150,000 edges = 0.44 us/edge. The baseline JSON's peak per-route edge counts sum to 601,553 dynamic edges/day, so ~264 ms/day, plus school_class (a structural route whose edge count is not in the bundle because the harness omits static routes -- measure it) re-converted on every term weekday. Against 2.26 s/day that is ~12% for the dynamic part alone. Memory: measured 236 B per edge dict (dict + weight float + persistence int, ids shared) vs 16 B columnar, so the 205,326-edge community_indoor snapshot is 48.5 MB dict-form vs 3.29 MB columnar -- a 15x reduction on the dominant term of the measured 200 MB/30-day growth, and the enabler for finding 4's weekday memo. PROJECTION; sandbox hardware. The provider's list() copy at starsim_adapter.py:174 is NOT worth touching: 1.5 ms per 150k edges.",medium,high,high,medium,"This is the one item in the lane that must be staged behind its own gate. Stage it: (i) add the static-route array memo alone and gate it -- cheap, near-zero risk, and it isolates the school_class share; (ii) add a columnar path that runs ALONGSIDE the dict path in a verification mode, asserting for every route and every one of 180 dates that materializing the columnar state back to dicts reproduces the exact ordered edge sequence and that p1/p2/beta/dur match the current arrays bit-for-bit; (iii) only then remove the dict path from the day loop. Kill if any edge field, order or array byte differs, if the M4 logical hash changes, or if the measured saving is under 150 ms/day once the sort is done in numpy.","Network gate (complete ordered edge sequence, per-route snapshot hashes, M4 logical hash, and explicitly the Starsim p1/p2/beta/dur dtype, shape, order and bytes); Network gate immutability clause (prove the base M4 is not mutated and runtime views do not mutate cached parent state); Disease and attribution gate on frozen 7/14/30-day runs; Intervention and lifecycle gate (interventions.py:936-1008 rebuilds effective arrays from the same edges); Memory and growth gate at 7/14/30 days","Contradicts R7 candidate 7, which deprioritized _edge_arrays on the grounds that it 'accounted for only 2.7 profiled seconds versus 43.2 seconds in route snapshots' and advised 'do not create a second authoritative integer-edge model alongside M4'. That ranking was correct at 15.58 s/day; after a 5.11x route-generation improvement the same absolute cost is a much larger share of 2.26 s/day. The proposal here is not a second authoritative model -- it is a change of the single canonical representation, with dicts materialized only at the hash and Parquet boundaries."
ROUTE,6,ROUTE-6,activity_cv is mathematically inert on two of the four routes the M4 diagnostics declare it applies to,scientific,"src/jersey_outbreak/network_generator.py:1133-1139 (build_school_cross passes expected = sum of all group sizes), :1247-1253 (build_workplace_transient passes expected = len of the distinct active set), :189-193 (_activity_participation_probabilities returns all-1.0 when expected >= len(ordered)), :235-236 (all-one bypass), :69-74 (CONTACT_ACTIVITY_ROUTES), :1941-1943 (diagnostics claim approved_routes and application='participation_once')","For school_cross_class the requested expected_participant_count is sum(len(group) for group in school_year_groups.values()), and the eligible set is exactly the union of those groups; for workplace_transient it is len({agent_id for group in groups for agent_id in group}) against the same eligible ids. In both cases expected_participant_count >= len(sorted(set(eligible_ids))) is unconditionally true, so _activity_participation_probabilities returns 1.0 for every agent and _activity_weighted_participants returns the entire eligible set -- for ANY value of activity_cv. Verified with the extracted functions at activity_cv=0.5: the returned set equals the input set for both call shapes, while the community call shape (expected = 0.6n) correctly selects 3000/5000. The M4 diagnostics nevertheless publish approved_routes = CONTACT_ACTIVITY_ROUTES (all four) with application 'participation_once' and sensitivity_required=True. tests/test_networks.py:340-353 asserts only that school_cross_class STAFF edges are unchanged under activity_cv=0.5, which is equally consistent with the whole route being unchanged, so no test detects this.","Two separable actions. Scientific: decide whether activity weighting is intended to apply to these routes. If yes, the expected participant count must be a fraction of the eligible pool (a configured or evidence-derived attendance/participation rate), which changes results and is a model change, not an optimization -- it must go through the normal scenario-assumption and provenance route, not a performance commit. If no, remove the two calls and narrow CONTACT_ACTIVITY_ROUTES and the diagnostics' approved_routes to the two community routes. Reporting: until it is decided, the diagnostics block must not claim a four-route application. Performance (independent, exact): the all-one path still does sorted(set(...)) over the eligible ids, builds an n-entry dict of 1.0, scans it with all(), builds a set from it, and the caller then filters every group against that set -- four O(n) or O(n log n) passes for a provable no-op.","Removing the no-op: sandbox-measured 14.6 ms at n=34,000 (workplace_transient scale) and 4.3 ms at n=13,000 (school_cross_class scale) = ~19 ms/day, ~0.8% of 2.26 s/day, plus the caller-side membership filters at network_generator.py:1142-1143 and :1256. The scientific gain is not a runtime number: it is that any activity_cv sensitivity analysis run today is a two-route sensitivity while the artifact says four. activity_cv defaults to 0.0 and diagnostics record shipped_nonzero_default=False, so no shipped baseline result is affected -- the exposure is to sensitivity runs and to any future non-zero default.",low,low,low,high,"Confirm directly: build one ci-mode M4 at activity_cv=0.0 and one at 0.5 with all else fixed, and assert route_snapshot('school_cross_class', d).edges and route_snapshot('workplace_transient', d).edges are equal for every d in snapshot_dates while community_indoor differs. If they are equal, the inertness is confirmed and the diagnostics claim is wrong. For the performance part, the 30-day fingerprint compare must be byte-identical after removing the calls.",Network gate (removing the calls must leave every route x date edge sequence identical at both activity_cv=0 and a non-zero value); Randomness and identity gate (confirm no _stable_int draw is removed from any stream that is actually consumed); Disease and attribution gate on frozen runs,"Extends R7 candidate 1's 'add an exact all-participants fast path' -- which Stage-1b implemented at :235-236 -- but goes past it: R7 treated the all-one case as an optimization opportunity; the finding here is that for these two routes it is not a case that happens to arise, it is the ONLY case that can arise, which makes the declared route scope of the contact-activity model incorrect. That is new and is a scientific-reporting defect, not a performance one."
